province,province_id,health_area,health_area_id,center,center_id,address,phone_number,entity,entity_id,city,city_id,latitude,longitude
VALENCIA,valencia,H. Arnau-Lliria,h_arnau_lliria,CLÍNICA DIAVERUM BURJASSOT,clinica_diaverum_burjassot,"C/ Sèquia de Montcada, s/n",963160586,DIAVERUM,diaverum,BURJASSOT,burjassot,39.503047550000076,-0.40671514699994304
VALENCIA,valencia,H. Arnau-Lliria,h_arnau_lliria,CLÍNICA DIAVERUM PATERNA,clinica_diaverum_paterna,"C/ Vicente Cardona, 22",960905150,DIAVERUM,diaverum,PATERNA,paterna,39.49954001200007,-0.44215997699996
VALENCIA,valencia,H. Arnau-Lliria,h_arnau_lliria,CLÍNICA DIAVERUM LLÍRIA,clinica_diaverum_lliria,"C/ Ausias March, 20",960905162,DIAVERUM,diaverum,LLÍRIA,lliria,39.63063000200003,-0.600239988999931
CASTELLÓN,castellon,H La Plana,h_la_plana,BBraun VILA-REAL,bbraun_vila_real,Avda. Italia,964917120,BBRAUN,bbraun,VILA-REAL,vila_real,39.93642596500007,-0.10961125599993601
ALICANTE,alicante,Alicante,alicante,CLÍNICA VISTAHERMOSA GRUPO HLA,clinica_vistahermosa_grupo_hla,"Avda. Denia, 103",965268000,CLÍNICA VISTAHERMOSA GRUPO HLA,clinica_vistahermosa_grupo_hla,ALICANTE,alicante,38.36285998000005,-0.46312998999997
ALICANTE,alicante,Alicante,alicante,CLÍNICA DIAVERUM ALICANTE,clinica_diaverum_alicante,"C/ Proción, 3",627427220,DIAVERUM,diaverum,ALICANTE,alicante,38.34516355000005,-0.507742138999958
ALICANTE,alicante,Dpto. Salud Elche,dpto_salud_elche,H GENERAL ELCHE,h_general_elche,"C/ Almazara, 11",966616928,GENERALITAT VALENCIANA,generalitat_valenciana,ELCHE,elche,38.25972733100008,-0.6885269479999461
ALICANTE,alicante,Dpto. Salud Torrevieja,dpto_salud_torrevieja,H UNIVERSITARIO TORREVIEJA,h_universitario_torrevieja,"Carretera CV 95, s/n",965721349,TORREVIEJA SALUD UTE LEY 18/82,torrevieja_salud_ute_ley_18_82,TORREVIEJA,torrevieja,37.96197587800003,-0.713539686999979
VALENCIA,valencia,H. Dr. Peset,h_dr_peset,CLÍNICA DIAVERUM ALFAFAR,clinica_diaverum_alfafar,"C/ Profesora Ana Rojo, 1",961801811,DIAVERUM,diaverum,ALFAFAR,alfafar,39.41751001400007,-0.38313997899996305
VALENCIA,valencia,H. La Fe,h_la_fe,CLÍNICA DIAVERUM GAMAPAL,clinica_diaverum_gamapal,"C/. Reina Violante, s/n (Esq. Padre Barranco, 42)",960905123,DIAVERUM,diaverum,VALENCIA,valencia,39.48764005700008,-0.40356994599994706
VALENCIA,valencia,H. Sagunto,h_sagunto,CLÍNICA DIAVERUM PUERTO SAGUNTO,clinica_diaverum_puerto_sagunto,"C/ Urani, 27",961801690,DIAVERUM,diaverum,PUERTO SAGUNTO,puerto_sagunto,39.668620014000055,-0.217539975999955
VALENCIA,valencia,H. Clínico,h_clinico,Bbraun VALNEFRON,bbraun_valnefron,"C/ Serpis, 8",963613908,BBRAUN,bbraun,VALENCIA,valencia,39.476070013000026,-0.34932997999993604
VALENCIA,valencia,H. Clínico,h_clinico,BBraun MASSAMAGRELL,bbraun_massamagrell,"C/ San Miguel, 6",964917230,BBRAUN,bbraun,MASSAMAGRELL,massamagrell,39.567399984000076,-0.33342003799992803
VALENCIA,valencia,H. General,h_general,CLÍNICA DIAVERUM XIRIVELLA,clinica_diaverum_xirivella,"C/ Dels Corretgers, 68",,DIAVERUM,diaverum,XIRIVELLA,xirivella,39.45415166400005,-0.43512652399994
VALENCIA,valencia,H. General,h_general,CLÍNICA DIAVERUM VALENCIA,clinica_diaverum_valencia,"C/ Alcàsser, 54",,DIAVERUM,diaverum,VALENCIA,valencia,39.47184000100003,-0.41070001199994904
CASTELLÓN,castellon,H. Vinaròs,h_vinaros,CLÍNICA DIAVERUM VINARÒS,clinica_diaverum_vinaros,"C/ San Blas, 47 - C/ Ruiz Picasso, 35",964401144,DIAVERUM,diaverum,VINARÒS,vinaros,40.46628001600004,0.46827002500003806
CASTELLÓN,castellon,HGUCS,hgucs,CLÍNICA DIAVERUM OROPESA,clinica_diaverum_oropesa,"C/ José Ribera Forner, 94-96",964313387,DIAVERUM,diaverum,OROPESA,oropesa,40.099539985000035,0.134770023000044
CASTELLÓN,castellon,HGUCS,hgucs,H. GENERAL,h_general,"Avda. Benicàssim, s/n",964725223,SEGURIDAD SOCIAL,seguridad_social,CASTELLÓ,castello,39.99798212300004,-0.038761793999924
CASTELLÓN,castellon,HGUCS,hgucs,CLÍNICA DIAVERUM CASTELLÓ,clinica_diaverum_castello,"C/ Puig, 10",964233773,DIAVERUM,diaverum,CASTELLÓ,castello,39.992099996000036,-0.03252002399995
CASTELLÓN,castellon,H La Plana,h_la_plana,BBraun VALL D'UIXÒ,bbraun_vall_d'uixo,"Avda. Corazon de Jesus, 157",964663333,BBRAUN,bbraun,VALL D’UIXÒ,vall_duixo,39.822809154000026,-0.22122234399995402
ALICANTE,alicante,Dpto. Salud Denia,dpto_salud_denia,H MARINA SALUD DENIA,h_marina_salud_denia,"Avda. Marina Alta, s/n",966429000,GENERALITAT VALENCIANA,generalitat_valenciana,DENIA,denia,38.807360121000045,0.051997731000028004
ALICANTE,alicante,Dpto. Salud Alcoi,dpto_salud_alcoi,H VIRGEN DE LOS LÍRIOS,h_virgen_de_los_lirios,C/ Caramanxel. s/n,965537454,GENERALITAT VALENCIANA,generalitat_valenciana,ALICANTE,alicante,38.70549626300004,-0.471557185999927
ALICANTE,alicante,Dpto. Salud San Juan,dpto_salud_san_juan,NEFROSOL SALUD,nefrosol_salud,"Avda. La Goleta, 17",626429193,RIVERA SALUD,rivera_salud,ALICANTE,alicante,38.362780017000034,-0.42308997399993503
ALICANTE,alicante,Dpto. Salud Marina Baixa,dpto_salud_marina_baixa,H CLÍNICA BENIDORM,h_clinica_benidorm,"Avda. Alfonso Puchades, 8",965853850,CENTRO MÉDICO SALUS BALEARES,centro_medico_salus_baleares,BENIDORM,benidorm,38.54268542800003,-0.12703859599997702
ALICANTE,alicante,Dpto. Salud Elche,dpto_salud_elche,CLÍNICA DIAVERUM ELCHE,clinica_diaverum_elche,"Avda. De Jubalcoi, 36",966901336,DIAVERUM,diaverum,ELCHE,elche,38.27868201100006,-0.675735929999973
ALICANTE,alicante,Dpto. Salud Elche,dpto_salud_elche,CASAS REPOSO Y SANATORIO PPTO. SOCORRO,casas_reposo_y_sanatorio_ppto_socorro,"C/ Vicent Andrés Estellés, 3",965201100,CASA DE REPOSO Y SANATORIO PPTO. SOCORRO SA,casa_de_reposo_y_sanatorio_ppto_socorro_sa,ELCHE,elche,38.271208014000024,-0.6801271089999541
ALICANTE,alicante,Dpto. Salud Elda,dpto_salud_elda,H GENERAL UNIVERSITARIO ELDA,h_general_universitario_elda,"Crtra. Sax – La Torreta, s/n",966989071,GENERALITAT VALENCIANA,generalitat_valenciana,ELDA,elda,38.493563460000075,-0.7995384869999491
VALENCIA,valencia,H. Dr. Peset,h_dr_peset,CLÍNICA DIAVERUM NEFROCLUB,clinica_diaverum_nefroclub,"C/ Primero de Mayo, 16 bajo.",963570012,DIAVERUM,diaverum,VALENCIA,valencia,39.449020019000045,-0.38753000099995905
VALENCIA,valencia,H. La Fe,h_la_fe,CLÍNICA DIAVERUM CATARROJA,clinica_diaverum_catarroja,"C/ Luis Vives, 20",960905207,DIAVERUM,diaverum,CATARROJA,catarroja,39.401840004000064,-0.39917003399995105
VALENCIA,valencia,H. Gandía,h_gandia,CLÍNICA DIAVERUM GANDÍA,clinica_diaverum_gandia,"C/ Jaume II, 51-55",960901184,DIAVERUM,diaverum,GANDÍA,gandia,38.97523000800004,-0.181829966999941
VALENCIA,valencia,H. Requena,h_requena,REQUENA,requena,"C/ Casablanca, s/n",962304352,DIAVERUM,diaverum,REQUENA,requena,39.485803658000066,-1.091087921999928
VALENCIA,valencia,H. General,h_general,CLÍNICA DIAVERUM TORRENT,clinica_diaverum_torrent,"C/ Músic José Ortí Soriano, 25",,DIAVERUM,diaverum,TORRENT,torrent,39.439770002000046,-0.45715000499995906
