province,Province URI,health_area,center,address,phone_number,entity,Entity URI,is_company,city,City URI,latitude,longitude
Valencia Province,https://www.wikidata.org/wiki/Q54939,H. Arnau-Lliria,CLÍNICA DIAVERUM BURJASSOT,"C/ Sèquia de Montcada, s/n",963160586,Diaverum,https://www.wikidata.org/wiki/Q18588976,1,Burjassot,https://www.wikidata.org/wiki/Q55688,39.503047550000076,-0.40671514699994304
Valencia Province,https://www.wikidata.org/wiki/Q54939,H. Arnau-Lliria,CLÍNICA DIAVERUM PATERNA,"C/ Vicente Cardona, 22",960905150,Diaverum,https://www.wikidata.org/wiki/Q18588976,1,Paterna,https://www.wikidata.org/wiki/Q23042,39.49954001200007,-0.44215997699996
Valencia Province,https://www.wikidata.org/wiki/Q54939,H. Arnau-Lliria,CLÍNICA DIAVERUM LLÍRIA,"C/ Ausias March, 20",960905162,Diaverum,https://www.wikidata.org/wiki/Q18588976,1,Llíria,https://www.wikidata.org/wiki/Q23067,39.63063000200003,-0.600239988999931
Castellón,https://www.wikidata.org/wiki/Q54942,H La Plana,BBraun VILA-REAL,Avda. Italia,964917120,B. Braun,https://www.wikidata.org/wiki/Q644835,1,Vila-real,https://www.wikidata.org/wiki/Q12292,39.93642596500007,-0.10961125599993601
Alicante Province,https://www.wikidata.org/wiki/Q54936,Alicante,CLÍNICA VISTAHERMOSA GRUPO HLA,"Avda. Denia, 103",965268000,Clínica Vistahermosa Grupo Hla,https://www.wikidata.org/wiki/Q87761418,1,Alicante,https://www.wikidata.org/wiki/Q11959,38.36285998000005,-0.46312998999997
Alicante Province,https://www.wikidata.org/wiki/Q54936,Alicante,CLÍNICA DIAVERUM ALICANTE,"C/ Proción, 3",627427220,Diaverum,https://www.wikidata.org/wiki/Q18588976,1,Alicante,https://www.wikidata.org/wiki/Q11959,38.34516355000005,-0.507742138999958
Alicante Province,https://www.wikidata.org/wiki/Q54936,Dpto. Salud Elche,H GENERAL ELCHE,"C/ Almazara, 11",966616928,Generalitat Valenciana,https://www.wikidata.org/wiki/Q2477285,0,Elche,https://www.wikidata.org/wiki/Q10509,38.25972733100008,-0.6885269479999461
Alicante Province,https://www.wikidata.org/wiki/Q54936,Dpto. Salud Torrevieja,H UNIVERSITARIO TORREVIEJA,"Carretera CV 95, s/n",965721349,TORREVIEJA SALUD UTE LEY 18/82,,1,Torrevieja,https://www.wikidata.org/wiki/Q221749,37.96197587800003,-0.713539686999979
Valencia Province,https://www.wikidata.org/wiki/Q54939,H. Dr. Peset,CLÍNICA DIAVERUM ALFAFAR,"C/ Profesora Ana Rojo, 1",961801811,Diaverum,https://www.wikidata.org/wiki/Q18588976,1,Alfafar,https://www.wikidata.org/wiki/Q1648851,39.41751001400007,-0.38313997899996305
Valencia Province,https://www.wikidata.org/wiki/Q54939,H. La Fe,CLÍNICA DIAVERUM GAMAPAL,"C/. Reina Violante, s/n (Esq. Padre Barranco, 42)",960905123,Diaverum,https://www.wikidata.org/wiki/Q18588976,1,Valencia,https://www.wikidata.org/wiki/Q8818,39.48764005700008,-0.40356994599994706
Valencia Province,https://www.wikidata.org/wiki/Q54939,H. Sagunto,CLÍNICA DIAVERUM PUERTO SAGUNTO,"C/ Urani, 27",961801690,Diaverum,https://www.wikidata.org/wiki/Q18588976,1,Port de Sagunt,https://www.wikidata.org/wiki/Q47497,39.668620014000055,-0.217539975999955
Valencia Province,https://www.wikidata.org/wiki/Q54939,H. Clínico,Bbraun VALNEFRON,"C/ Serpis, 8",963613908,B. Braun,https://www.wikidata.org/wiki/Q644835,1,Valencia,https://www.wikidata.org/wiki/Q8818,39.476070013000026,-0.34932997999993604
Valencia Province,https://www.wikidata.org/wiki/Q54939,H. Clínico,BBraun MASSAMAGRELL,"C/ San Miguel, 6",964917230,B. Braun,https://www.wikidata.org/wiki/Q644835,1,Masamagrell,https://www.wikidata.org/wiki/Q1313044,39.567399984000076,-0.33342003799992803
