idPerson,dateTime,idDateTime,idAccident,street,streetID,district,idDistrict,wikidata_URI,accident_type,weather_status,bicycle_is_electronic,person_type,age_range,sex,hospitalized,coordinate_x_utm,coordinate_y_utm,positive_alcohol
2019S000036,2019-01-02T20:45:00+02:00,201901022045000200,2019010220450002002019S000036,AVDA. GRAN VIA DE HORTALEZA,AVDAGRANVIADEHORTALEZA,Hortaleza,HORTALEZA,https://www.wikidata.org/wiki/Q1928529,Frontal-lateral collision,Clear,0,Driver,70 - 74,Man,1,444.591.127,4.479.784.701,0
2019S000045,2019-01-03T10:30:00+02:00,201901031030000200,2019010310300002002019S000045,CTRA. DEHESA DE LA VILLA,CTRADEHESADELAVILLA,Moncloa-Aravaca,MONCLOAARAVACA,https://www.wikidata.org/wiki/Q2017682,Fall,Clear,0,Driver,15 - 17,Man,1,438.315.991,4.478.761.412,0
2019S000132,2019-01-03T12:45:00+02:00,201901031245000200,2019010312450002002019S000132,AVDA. SANTA EUGENIA,AVDASANTAEUGENIA,Villa de Vallecas,VILLADEVALLECAS,https://www.wikidata.org/wiki/Q1947988,Scope,Clear,0,Driver,18 - 20,Man,0,448.366.684,4.469.893.796,0
2019S000132,2019-01-03T12:45:00+02:00,201901031245000200,2019010312450002002019S000132,AVDA. SANTA EUGENIA,AVDASANTAEUGENIA,Villa de Vallecas,VILLADEVALLECAS,https://www.wikidata.org/wiki/Q1947988,Scope,Clear,0,Driver,21 - 24,Man,0,448.366.684,4.469.893.796,0
2019S000133,2019-01-03T14:30:00+02:00,201901031430000200,2019010314300002002019S000133,FELIPE ALVAREZ,FELIPEALVAREZ,Villa de Vallecas,VILLADEVALLECAS,https://www.wikidata.org/wiki/Q1947988,Scope,NULL,0,Driver,15 - 17,Man,0,447.078.477,4.470.344.997,0
2019S000306,2019-01-04T17:10:00+02:00,201901041710000200,2019010417100002002019S000306,PRADILLO,PRADILLO,Chamartín,CHAMARTIN,https://www.wikidata.org/wiki/Q1766348,Frontal-lateral collision,Clear,0,Driver,30 - 34,Man,0,442.893.724,4.477.784.651,0
2019S000641,2019-01-04T13:35:00+02:00,201901041335000200,2019010413350002002019S000641,CANON DEL RIO LOBOS,CANONDELRIOLOBOS,Moratalaz,MORATALAZ,https://www.wikidata.org/wiki/Q2076109,Frontal-lateral collision,Clear,0,Driver,65 - 69,Man,0,446.461.067,4.473.051.643,0
2019S000659,2019-01-01T14:00:00+02:00,201901011400000200,2019010114000002002019S000659,CASTELLO,CASTELLO,Salamanca,SALAMANCA,https://www.wikidata.org/wiki/Q1773521,Scope,Clear,0,Driver,25 - 29,Man,0,442.218.740,4.475.612.690,0
2019S000904,2019-01-07T14:00:00+02:00,201901071400000200,2019010714000002002019S000904,NUESTRA SENORA DE VALVERDE,NUESTRASENORADEVALVERDE,Fuencarral-El Pardo,FUENCARRALELPARDO,https://www.wikidata.org/wiki/Q656196,Frontal-lateral collision,Clear,0,Driver,30 - 34,Man,0,441.764.073,4.482.763.433,0
2019S001678,2019-01-09T12:50:00+02:00,201901091250000200,2019010912500002002019S001678,GRAN VIA,GRANVIA,Centro,CENTRO,https://www.wikidata.org/wiki/Q1763376,Scope,Clear,0,Driver,15 - 17,Man,NULL,439.854.516,4.474.862.412,0
2019S001738,2019-01-08T13:03:00+02:00,201901081303000200,2019010813030002002019S001738,MONASTERIO DE ARLANZA,MONASTERIODEARLANZA,Fuencarral-El Pardo,FUENCARRALELPARDO,https://www.wikidata.org/wiki/Q656196,Fall,Clear,0,Driver,25 - 29,Man,1,441.249.856,4.484.718.672,0
