Gis_X,Gis_Y,Distrito,Barrio,Número de Plazas,Longitud,Latitud,Direccion
"440443,61","4474290,65",1  CENTRO,01-06 SOL,30,-3.701998,40.4171107,"ALCALA, CALLE, DE, 2"
"440480,56","4474301,74",1  CENTRO,01-06 SOL,30,-3.7015636,40.4172132,"ALCALA, CALLE, DE, 6"
"440134,83","4474678,23",1  CENTRO,01-05 UNIVERSIDAD,24,-3.7056739,40.42058,"MIGUEL MOYA, CALLE, DE, 1"
"440012,98","4475760,68",7  CHAMBERÍ,07-02 ARAPILES,18,-3.7072122,40.4303224,"CONDE DEL VALLE DE SUCHIL, PLAZA, DEL, 2"
"440396,4","4475565,36",1  CENTRO,01-05 UNIVERSIDAD,24,-3.7026739,40.4285905,"MANUELA MALASAÑA, CALLE, DE, 3"
"440447,06","4475539,6",1  CENTRO,01-04 JUSTICIA,27,-3.7020743,40.428362,"FUENCARRAL, CALLE, DE, 106"
"440754,26","4475071,08",1  CENTRO,01-04 JUSTICIA,24,-3.6984093,40.4241633,"HORTALEZA, CALLE, DE, 63"
"440811,97","4475187,49",1  CENTRO,01-04 JUSTICIA,21,-3.6977399,40.4252161,"HORTALEZA, CALLE, DE, 75"
"441020,56","4475463,16",7  CHAMBERÍ,07-04 ALMAGRO,24,-3.6953067,40.4277143,"ALONSO MARTINEZ, PLAZA, DE, 6"
"439813,51","4474129,47",1  CENTRO,01-01 PALACIO,24,-3.7094093,40.4156134,"SAN MIGUEL, PLAZA, DE, 9"
"441292,12","4475204,43",1  CENTRO,01-04 JUSTICIA,24,-3.6920816,40.4254027,"MARQUES DE LA ENSENADA, CALLE, DEL, 16"
"440314,86","4475395,19",1  CENTRO,01-05 UNIVERSIDAD,24,-3.7036192,40.4270517,"SAN ANDRES, CALLE, DE, 20"
"440095,53","4475560,73",1  CENTRO,01-05 UNIVERSIDAD,24,-3.7062202,40.4285271,"SAN BERNARDO, CALLE, DE, 87"
"439733,78","4475434,65",1  CENTRO,01-05 UNIVERSIDAD,24,-3.7104727,40.4273652,"CONDE DUQUE, CALLE, DEL, 22"
"439486,2","4475284,13",9  MONCLOA-ARAVACA,09-02 ARGÜELLES,24,-3.7133768,40.4259913,"VENTURA RODRIGUEZ, CALLE, DE, 1"
"439996,77","4475313,59",1  CENTRO,01-05 UNIVERSIDAD,21,-3.7073611,40.4262937,"NORTE, CALLE, DEL, 10"
"439982,39","4474941,66",1  CENTRO,01-05 UNIVERSIDAD,21,-3.7074955,40.4229421,"SAN BERNARDO, CALLE, DE, 22"
"440263,35","4474964,43",1  CENTRO,01-05 UNIVERSIDAD,24,-3.7041859,40.4231675,"CARLOS CAMBRONERO, PLAZA, DE, 2"
"440653,13","4474711,92",1  CENTRO,01-04 JUSTICIA,24,-3.6995679,40.4209206,"PEDRO ZEROLO, PLAZA, DE, 1"
"441007,98","4474817,8",1  CENTRO,01-04 JUSTICIA,24,-3.6953951,40.4218997,"PRIM, CALLE, DE, 4"
"441021,37","4474517,89",1  CENTRO,01-04 JUSTICIA,24,-3.6952095,40.4191989,"ALCALA, CALLE, DE, 49"
"441014,52","4474516,49",1  CENTRO,01-04 JUSTICIA,6,-3.6952901,40.4191858,"ALCALA, CALLE, DE, 49"
"440064,4","4474630,53",1  CENTRO,01-06 SOL,24,-3.7064995,40.4201452,"JACOMETREZO, CALLE, DE, 1"
"439912,56","4474639,35",1  CENTRO,01-01 PALACIO,24,-3.7082901,40.4202137,"SANTO DOMINGO, PLAZA, DE, S/N"
"439715,67","4474384,75",1  CENTRO,01-01 PALACIO,24,-3.7105866,40.417906,"CARLOS III, CALLE, DE, 1"
"440104,48","4474318,99",1  CENTRO,01-06 SOL,24,-3.7059978,40.4173416,"CELENQUE, PLAZA, DEL, 1"
"440102,16","4474309,87",1  CENTRO,01-06 SOL,24,-3.7060243,40.4172593,"CELENQUE, PLAZA, DEL, 1"
"441082,03","4475031,58",1  CENTRO,01-04 JUSTICIA,24,-3.6945421,40.4238308,"SALESAS, PLAZA, DE LAS, 8"
