Column,pk,name,equipment,teaching,typeAccessibility,contentURL,locality,province,postalCode,neighborhood,district,coordX,coordY,phone,fax,email,titularity,laborDay,schedule,extraUses,otherUses,yardCategory,yardNumber,accessibilityComment,directAccess,otherAccess,wcAccessibles,shade,furniture,services,surface,conservationState,greenZonesProximity,facilitiesProximity,observations,bus,renfe,metro,address
0,176850,Colegio público adolfo suárez,"Comedor, horario ampliado, planes de mejora",Enseñanzas: segundo ciclo de e. infantil - primaria - educación secundaria obligatoria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=a9344b6faa61c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28050,Valdefuentes,Hortaleza,444807,4482402,917 502 058 / 676 562 792,917 502 058,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-18:00,"Actividades extraescolares, días no lectivos, campamentos urbanos, talleres fin de semana",Iii,3,Si,Si (c/ infanta catalina micaela),-,No,Si (150m²),"Porterías, canastas, bancos",Alumbrado,"3868,71 + 1384,25 + 4474,92",Mejorable (elementos deteriorados),Nan,Nan,Nan, 174,Nan,Nan,Calle infanta catalina micaela 31
1,4693138,Colegio público agustín rodriguez sahagún,"Horario ampliado, comedor, planes de mejora",Enseñanza: educacion infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=706c615f4eb66110vgnvcm1000000b205a0arcrd,Madrid,Madrid,28031,Casco H.Vallecas,Villa De Vallecas,447178,4468793,913 324 348,914 941 475,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-20:00,-,Ii,2,Si,Si (c/ granja de san ildefonso),Av. villa de vallecas (directo a canchas),Si (en gimnasio),"Porches, arbolado","Porterías, canastas, columpios, bancos, ping pong, rocódromo, huerto.","Alumbrado, fuente","5748,56",Bueno,"Parque mundaire (450m), parque de las cataratas (550m), parque mundaire (650m)","Orichas stadium (300m), instalación deportiva miguel guillen (900m)",Nan, 142,Nan,Nan,Calle la granja de san ildefonso 17
2,5075,Colegio público agustina díez,"Comedor, horario ampliado",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=dd68a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28038,Portazgo,Puente De Vallecas,445067,4471046,917 770 073,917 770 073,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,"Actividades extraescolares 16:00-17:00 , ""quedamos al salir del cole"" 16:00-20:00",-,Iii,2,Si,No,No,Si,No,Porterías,Alumbrado,"1111,43",Aceptable,"Parque de la constitución (200m), parque azorín (600m)",Biblioteca miguel hernández (750m),Nan," 54 , 58 , 103 , 143",Nan,Alto del arenal,Calle vesubio 5
3,5076,Colegio público alberto alcocer,"Comedor, transporte, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=2388a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28022,Hellin,San Blas-Canillejas,448087,4476035,913 202 609,913 200 446,Nan,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-17:00,-,Iii,2,Si,Si,Principal del centro,No,Porche pequeño,"Porterías, canastas",No,"5036,74822",Bueno,Parque paraiso,Nan,Nan," 38 , 48 , 140, 153",Nan,Las musas,Avenida canillejas a vicalvaro 56
4,5077,Colegio público alcalde de móstoles,"Transporte, comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=7898a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28044,Las Aguilas,Latina,434091,4470207,917 055 465,915 095 129,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,-,Iii,2,Si,Si,-,No,Techado en infantil,"Canastas, porterías, columpio",No,"2186,118",-,Nan,Nan,Nan," 34 , 39 , 139 , 117 , 17 ,",Nan,Nan,Calle aldeanueva de la vera 9
5,5078,Colegio público alfonso x el sabio,"Comedor, transporte, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=cda8a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28032,Casco H.Vicalvaro,Vicalvaro,448774,4472685,913 719 661,917 765 962,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,Cruz roja 16:00-20:30,Iii,2,Si,Si (a patio infantil),Acceso directo a patio infantil,No,No,"Porterías (primaria), columpios",No,"573,92",Bueno,Parque san cipriano (300m),"Biblioteca vicálvaro (600m), centro cultural el madroño (600m), cdm margot moles (850m)",Nan," 4, 71, 100, 106, e-3",Nan,San cipriano,Calle fuente de san pedro 6
6,10770379,Colegio público alfredo di stefano,Nan,Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=32c2f9dd06e95610vgnvcm1000001d4a900arcrd,Madrid,Madrid,28022,Hellin,Hortaleza,448087,4476035,660 906 527,Nan,Nan,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-18:00,-,Iii,3,Si,Si (c/ felix candela),-,No,"Porche, pérgola, arbolado","Porterías, canastas, columpios, bancos",Fuentes,-,Bueno,Nan,Nan,Nan," 171, 174",Nan,Nan,Calle felix candela 4
7,5079,Colegio público alhambra,"Comedor, transporte, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=13c8a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28035,Peña Grande,Fuencarral-El Pardo,438407,4481677,913 162 273,913 737 021,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-18:00,Talleres 'patios abiertos' sábados 10:00-14:00,Iii,3,Si,Si (c/ ramón gómez de la serna),-,No,"Si (300m²), arbolado","Canastas, porterías, juegos, bancos, papeleras",Fuentes ,"3042,48",Mejorable (actualmente realizando obras),Nan,Nan,Participa actualmente de 'patios abiertos'," 49 , 67 , 82",Nan,Lacoma,Calle ramon gomez de la serna 103
8,4690849,Colegio público álvaro de bazan,"Horario ampliado, comedor, integración prefernete (trastornos generales del desarrollo)",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=eb583058a6166110vgnvcm1000000b205a0arcrd,Madrid,Madrid,28022,Rosas,San Blas-Canillejas,448486,4474724,917 757 114,917 757 114,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,Fútbol antiguos alumnos,Iii,4,Si,Si (c/ zurich),-,No,No,"Porterías, mesas de juegos",Alumbrado,"2329,5797",Mejorable (deteriorado),Nan,Nan,Tiene patios interiores con diferentes equipamientos.," 4, 106, 140, 153",Nan,Nan,Calle zurich 10
9,5080,Colegio público amadeo vives,"Comedor, horario ampliado, planes de mejora, integración preferente (trastornos generales del desarrollo)",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=68d8a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28047,Aluche,Latina,436005,4472352,917 183 389,917 199 055,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,-,Iii,2,Si,Si (patio infantil),-,No,Si (zona de sombra con árboles),"Canastas, porterías",No,"3205,56",-,Nan,Nan,Comparte espacios con una escuela infantil independiente. ," 25 , 31 , 138",Nan,Nan,Calle los yebenes 6
