tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;direccion_via_codigo;direccion_via_nombre;direccion_portal_numero;direccion_piso;direccion_puerta;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;horario_acceso;codigo_dea
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de Ríos Rosas;23;BAJA;;28003;INSTITUTO GEOLÓGICO Y MINERO DE ESPAÑA JUNTO AL SERVICIO MÉDICO;440663;4477077;24 HORAS;2017-38
Otros;Privada;079;Madrid;PASEO;de la Castellana;182;;;28046;MAKIBER ;441610;4479170;DE 08:00 A 20:00 HORAS;2017-39
Centro de trabajo con más de 250 trabajadores;Privada;014;Arganda del Rey;CALLE;Latón;3;1ª;;28500;TETRAPACK ENVASES SA ÁREA DE OFICINA DE JEFES DE TURNO;460489;4461360;;2017-41
Centro educativo;Privada;079;Madrid;CALLE;de Monasterio de Las Huelgas;15;;;28049;FUNDACIÓN A LA PAR EN EL HALL DE ENTRADA DEL EDIFICIO PRINCIPAL JUNTO CONSERJE;439919;4483766;HORARIO LECTIVO;2017-48
Establecimiento dependiente de una Administración Pública;Pública;022;Boadilla del Monte;CALLE;de Isabel II;26;;;28660;JUZGADO DE PAZ EN EL HALL DE ENTRADA;425269;4473564;DE 8:00 A 16:00 DE LUNES A VIERNES;2017-55
Establecimiento dependiente de una Administración Pública;Pública;022;Boadilla del Monte;CALLE;de Juan Carlos I;42;;;28660;SEDE ADMINISTRATIVA DEL AYUNTAMIENTO EN EL HALL DE ENTRADA;425413;4473275;24 HORAS  365 DIAS;2017-56
Establecimiento dependiente de una Administración Pública;Pública;022;Boadilla del Monte;CALLE;del Convento;10;;;28660;BIBLIOTECA MUNICIPAL LA MILLONARIA EN EL HALL DE ENTRADA;425577;4473257;DE LUNES A VIERNES DE 9:00 A 22:00;2017-57
Establecimiento dependiente de una Administración Pública;Pública;022;Boadilla del Monte;AVDA;SEDE INSTITUCIONAL DEL AYUNTAMIENTO. HALL DE ENTRADA;S/N;;;28660;AVENIDA DE ADOLFO SUAREZ S/N;425598;4473109;DE LUNES A VIERNES DE 2:00 A 20:00;2017-58
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;del Alto del Retiro;33;;;28051;IKEA ENSANCHE DE VALLECAS ;449406;4469024;;2017-98
Otros;Privada;079;Madrid;CALLE;de Somera;5;;;28023;MACDONALDS ;431898;4480058;8-18;2017-99
Otros;Privada;079;Madrid;CALLE;de Consuegra;7;2;A;28036;ONTEX ID SAU ;442642;4480695;HORARIO COMERCIAL;2017-100
Otros;Privada;079;Madrid;CALLE;de Juan Ramón Jiménez;15;;;28036;PREMAAT UPS ;441742;4478847;"DE 8;00 A 18:00";2017-101
Otros;Privada;079;Madrid;CALLE;de Goya;22;3;;28001;SIERRA SPAIN SHOPPING CENTER SERVICES SAU ;442037;4475154;L A J: 9:00 A 19:00. V: 9:00 A16:00;2017-108
Otros;Privada;079;Madrid;PLAZA;de Pablo Ruiz Picasso;S/N;42;;28020;VIESGO RENOVABLES SLU EDIFICIO TORRE PICASSO;441236;4477968;9:00 A 18:00;2017-117
Otros;Pública;096;Navalcarnero;PLAZA;de Francisco Sandoval Caballero;1;;;28600;AYUNTAMIENTO DE NAVALCARNERO EN EL HALL DE ENTRADA;413706;4460531;9:00 A 14:00 HORAS;2017-119
Otros;Pública;096;Navalcarnero;PLAZA;del Teatro;s/n;;;28600;POLICÍA LOCAL ;413855;4460388;;2017-121
Otros;Pública;096;Navalcarnero;CALLE;del Río Ebro;s/n;;;28600;PABELLÓN CUBIERTO LA ESTACIÓN HALL DE RECEPCIÓN;414399;4460907;SEGÚN ACTIVIDADES;2017-129
Otros;Pública;096;Navalcarnero;CALLE;Juan Antonio Zenón;S/N;;;28600;POLIDEPORTIVO MUNICIPAL EL PIJORRO ;413304;4460258;9:00 A 23:00;2017-130
Centro educativo;Pública;049;Coslada;CALLE;de la Virgen del Mar;S/N;baja;;28821;ENTRADA POR AVENIDA DEL PLANTÍO. EN ANTESALA DE ASEOS PROFESORES I.E.S. LUIS GARCÍA BERLANGA (Coslada);452271;4475706;LUNES A JUEVES 8:30 A 18:00. VIERNES 8:30 A 14:30;2017-135
Otros;Privada;005;Alcalá de Henares;AVDA;de Meco;S/N;;;28805;PABELLÓN POLIDEPORTIVO FUNDACIÓN MONTEMADRID DENTROPISTA POLILDEPORTIVA JUNTOA A INSTALACIÓN MEGAFONÍA;469844;4482845;;2017-144
