Identificador,Nombre,barrio_wikidata,Codigo,distrito
http://www.group10.org/pl/resource/Neighborhood/N01-01,Palacio,https://wikidata.org/entity/Q2136510,01-01,http://www.group10.org/pl/resource/District/D01
http://www.group10.org/pl/resource/Neighborhood/N01-02,Embajadores,https://wikidata.org/entity/Q2449844,01-02,http://www.group10.org/pl/resource/District/D01
http://www.group10.org/pl/resource/Neighborhood/N01-03,Cortes,https://wikidata.org/entity/Q2535637,01-03,http://www.group10.org/pl/resource/District/D01
http://www.group10.org/pl/resource/Neighborhood/N01-04,Justicia,https://wikidata.org/entity/Q1992319,01-04,http://www.group10.org/pl/resource/District/D01
http://www.group10.org/pl/resource/Neighborhood/N01-05,Universidad,https://wikidata.org/entity/Q10387767,01-05,http://www.group10.org/pl/resource/District/D01
http://www.group10.org/pl/resource/Neighborhood/N01-06,Sol,https://wikidata.org/entity/Q2465181,01-06,http://www.group10.org/pl/resource/District/D01
http://www.group10.org/pl/resource/Neighborhood/N02-01,Imperial,https://wikidata.org/entity/Q3773740,02-01,http://www.group10.org/pl/resource/District/D02
http://www.group10.org/pl/resource/Neighborhood/N02-02,Las Acacias,https://wikidata.org/entity/Q3319190,02-02,http://www.group10.org/pl/resource/District/D02
http://www.group10.org/pl/resource/Neighborhood/N02-03,La Chopera,https://wikidata.org/entity/Q3773750,02-03,http://www.group10.org/pl/resource/District/D02
http://www.group10.org/pl/resource/Neighborhood/N02-04,Legazpi,https://wikidata.org/entity/Q3773990,02-04,http://www.group10.org/pl/resource/District/D02
http://www.group10.org/pl/resource/Neighborhood/N02-05,Las Delicias,https://wikidata.org/entity/Q3773736,02-05,http://www.group10.org/pl/resource/District/D02
http://www.group10.org/pl/resource/Neighborhood/N02-06,Palos de la Frontera,https://wikidata.org/entity/Q521009,02-06,http://www.group10.org/pl/resource/District/D02
http://www.group10.org/pl/resource/Neighborhood/N02-07,Atocha,https://wikidata.org/entity/Q3814594,02-07,http://www.group10.org/pl/resource/District/D02
http://www.group10.org/pl/resource/Neighborhood/N03-01,Pacífico,https://wikidata.org/entity/Q3773753,03-01,http://www.group10.org/pl/resource/District/D03
http://www.group10.org/pl/resource/Neighborhood/N03-02,Adelfas,https://wikidata.org/entity/Q3774001,03-02,http://www.group10.org/pl/resource/District/D03
http://www.group10.org/pl/resource/Neighborhood/N03-03,Estrella,https://wikidata.org/entity/Q3773738,03-03,http://www.group10.org/pl/resource/District/D03
http://www.group10.org/pl/resource/Neighborhood/N03-04,Ibiza,https://wikidata.org/entity/Q15249910,03-04,http://www.group10.org/pl/resource/District/D03
http://www.group10.org/pl/resource/Neighborhood/N03-05,Jerónimos,https://wikidata.org/entity/Q10306766,03-05,http://www.group10.org/pl/resource/District/D03
http://www.group10.org/pl/resource/Neighborhood/N03-06,Niño Jesús,https://wikidata.org/entity/Q3773746,03-06,http://www.group10.org/pl/resource/District/D03
http://www.group10.org/pl/resource/Neighborhood/N04-01,Recoletos,https://wikidata.org/entity/Q3814551,04-01,http://www.group10.org/pl/resource/District/D04
http://www.group10.org/pl/resource/Neighborhood/N04-02,Goya,https://wikidata.org/entity/Q3814578,04-02,http://www.group10.org/pl/resource/District/D04
http://www.group10.org/pl/resource/Neighborhood/N04-03,Fuente del Berro,https://wikidata.org/entity/Q3814564,04-03,http://www.group10.org/pl/resource/District/D04
http://www.group10.org/pl/resource/Neighborhood/N04-04,La Guindalera,https://wikidata.org/entity/Q3814559,04-04,http://www.group10.org/pl/resource/District/D04
http://www.group10.org/pl/resource/Neighborhood/N04-05,Lista,https://wikidata.org/entity/Q4779,04-05,http://www.group10.org/pl/resource/District/D04
http://www.group10.org/pl/resource/Neighborhood/N04-06,Castellana,https://wikidata.org/entity/Q4781,04-06,http://www.group10.org/pl/resource/District/D04
http://www.group10.org/pl/resource/Neighborhood/N05-01,El Viso,https://wikidata.org/entity/Q4778,05-01,http://www.group10.org/pl/resource/District/D05
http://www.group10.org/pl/resource/Neighborhood/N05-02,Prosperidad,https://wikidata.org/entity/Q4776,05-02,http://www.group10.org/pl/resource/District/D05
