,calle
0,"AGUAS, CALLE, DE LAS"
1,"AGUAS, CALLE, DE LAS"
2,"AGUILA, CALLE, DEL"
3,"AGUILA, CALLE, DEL"
4,"AGUILA, CALLE, DEL"
5,"AGUILA, CALLE, DEL"
6,"ALAMILLO, CALLE, DEL"
7,"ALAMILLO, CALLE, DEL"
8,"ALGECIRAS, CALLE, DE"
9,"ALGECIRAS, CALLE, DE"
10,"ALGECIRAS, CALLE, DE"
11,"ALGECIRAS, CALLE, DE"
12,"ALGECIRAS, CALLE, DE"
13,"ALMENDRO, CALLE, DEL"
14,"ALMENDRO, CALLE, DEL"
15,"AMNISTIA, CALLE, DE LA"
16,"AMNISTIA, CALLE, DE LA"
17,"AMNISTIA, CALLE, DE LA"
18,"AMNISTIA, CALLE, DE LA"
19,"ANGEL, CALLE, DEL"
20,"ANGELES, COSTANILLA, DE LOS"
21,"ANGELES, COSTANILLA, DE LOS"
22,"ANGELES, COSTANILLA, DE LOS"
23,"ANGELES, COSTANILLA, DE LOS"
24,"ARRIETA, CALLE, DE"
25,"ARRIETA, CALLE, DE"
26,"ARRIETA, CALLE, DE"
27,"ARRIETA, CALLE, DE"
28,"BAILEN, CALLE, DE"
29,"BEATRIZ GALINDO, CALLE, DE"
30,"BEATRIZ GALINDO, CALLE, DE"
31,"BEATRIZ GALINDO, CALLE, DE"
32,"BEATRIZ GALINDO, CALLE, DE"
33,"CALATRAVA, CALLE, DE"
34,"CALATRAVA, CALLE, DE"
35,"CALATRAVA, CALLE, DE"
36,"CALATRAVA, CALLE, DE"
37,"CALATRAVA, CALLE, DE"
38,"CALATRAVA, CALLE, DE"
39,"CALATRAVA, CALLE, DE"
40,"CALATRAVA, CALLE, DE"
41,"CALATRAVA, CALLE, DE"
42,"CALATRAVA, CALLE, DE"
43,"CALATRAVA, CALLE, DE"
44,"CAMPOMANES, CALLE, DE"
45,"CAMPOMANES, CALLE, DE"
46,"CAMPOMANES, CALLE, DE"
47,"CAMPOMANES, CALLE, DE"
48,"CAÑOS DEL PERAL, CALLE, DE LOS"
49,"CAÑOS VIEJOS, CUESTA, DE LOS"
50,"CAÑOS VIEJOS, CUESTA, DE LOS"
51,"CAVA ALTA, CALLE, DE LA"
52,"CAVA ALTA, CALLE, DE LA"
53,"CAVA ALTA, CALLE, DE LA"
54,"CAVA ALTA, CALLE, DE LA"
55,"CAVA ALTA, CALLE, DE LA"
56,"CAVA BAJA, CALLE, DE LA"
57,"CAVA BAJA, CALLE, DE LA"
58,"CAVA BAJA, CALLE, DE LA"
59,"CAVA BAJA, CALLE, DE LA"
60,"CAVA BAJA, CALLE, DE LA"
61,"CAVA BAJA, CALLE, DE LA"
62,"CAVA BAJA, CALLE, DE LA"
63,"CAVA DE SAN MIGUEL, CALLE, DE LA"
64,"CEBADA, CALLE, DE LA"
65,"CEBADA, CALLE, DE LA"
66,"CEBADA, CALLE, DE LA"
67,"CEBADA, CALLE, DE LA"
68,"CEBADA, PLAZA, DE LA"
69,"CEBADA, PLAZA, DE LA"
70,"CEBADA, PLAZA, DE LA"
71,"CEBADA, PLAZA, DE LA"
72,"CEBADA, PLAZA, DE LA"
73,"CEBADA, PLAZA, DE LA"
74,"CIUDAD DE PLASENCIA, PASEO, DE LA"
75,"CIUDAD DE PLASENCIA, PASEO, DE LA"
76,"CIUDAD DE PLASENCIA, PASEO, DE LA"
77,"CIUDAD DE PLASENCIA, PASEO, DE LA"
78,"CIUDAD DE PLASENCIA, PASEO, DE LA"
79,"CIUDAD DE PLASENCIA, PASEO, DE LA"
80,"COMANDANTE LAS MORENAS, PLAZA, DEL"
