FID,ogc_fid,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5ddb,3917655,POINT (371669.91181047366 4064921.1901470064),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Cl. Martínez Maldonado,59<br /> <b>N° Plazas: </b> 4<br/> <b>Descripción:</b> Esquina con Cl. Monseñor Carrillo Rubio ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dda,3917656,POINT (369167.1160800081 4063388.1872796384),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Max Estrella,1<br /> <b>N° Plazas: </b> 10<br/> <b>Descripción:</b> Esquina con Av. José Ortega y Gasset ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dd9,3917657,POINT (373487.83065250155 4065030.1016679388),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Plaza de Jesús el Rico,3<br /> <b>N° Plazas: </b> 10<br/> <b>Descripción:</b> Junto a entrada de Parking Alcazaba. ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dd8,3917658,POINT (371730.1984048351 4062548.6442002724),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Cl. Pacífico,4<br /> <b>N° Plazas: </b> 4<br/> <b>Descripción:</b> Esquina con Gta. Antonio Molina ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dd7,3917659,POINT (371309.2012578673 4064068.95912628),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Cl. Fernández Fermina,9<br /> <b>N° Plazas: </b> 4<br/> <b>Descripción:</b> A la altura del Centro de Servicios Sociales ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dd6,3917660,POINT (373675.4272737105 4064766.3365819342),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Roma,<br /> <b>N° Plazas: </b> 10<br/> <b>Descripción:</b> Esquina con Av.de Cervantes. ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dd5,3917661,POINT (372663.8475807243 4064144.972948292),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Av. Comandante Benítez,<br /> <b>N° Plazas: </b> 10<br/> <b>Descripción:</b> Av. COmandante Benítez esquina Puente del Pechel. ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dd4,3917662,POINT (371601.9450660577 4064415.486843345),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Av. Andalucía,23<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> Esquina con Cl. Escultor Palma Burgos ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dd3,3917663,POINT (371819.58941413544 4062980.6438062084),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Cl. Tomás Echeverría,4<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> Puerta I.E.S. Huelin ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dd2,3917664,POINT (371212.1661689604 4062210.641326606),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Av. Sor Teresa Prat,49<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> Ave María ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dd1,3917665,POINT (370444.9599065839 4061175.2378708874),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Nuestra Señora de las Candelas,13<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> Esquina con c/ La Crónica ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dd0,3917666,POINT (369584.00961131917 4060612.612416016),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Miguel de Mérida Nicolich,2<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> Palacio de Deportes José Mª Martín Carpena ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dcf,3917667,POINT (369728.55821337213 4060646.638085271),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Alicia de la Rocha,2<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> A la altura del Estadio de Atletismo. ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dce,3917668,POINT (374009.7192234295 4064487.4534748183),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Paseo Marítimo Ciudad de Melilla,23<br /> <b>N° Plazas: </b> 6<br/> <b>Descripción:</b> Paseo Marítimo frente a nº23 ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dcd,3917669,POINT (372556.32436850865 4065140.296559389),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Malasaña,4<br /> <b>N° Plazas: </b> 4<br/> <b>Descripción:</b> A la altura del Polideportivo Trinidad ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dcc,3917670,POINT (378915.3641712255 4064599.4467884745),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Cl. Practicante Fernández Alcolea,74<br /> <b>N° Plazas: </b> 4<br/> <b>Descripción:</b> Esquina con Cl. Padre Lerchundi ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dcb,3917671,POINT (365503.54605843837 4058633.221625468),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Torremolinos,65<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> Esquina con c/ Ángeles Rubio Arguelles ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dca,3917672,POINT (369840.90407993225 4058586.3299528547),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Cl. Guadalhorce,54<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> Esquina con Cl. Acacias de Guadalmar ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dc9,3917673,POINT (365852.62258899346 4059074.673813047),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Monsálvez,1<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> Esquina con c/ Toril ",,,,,-1,0,-1,0,
