id,name,address,detail,zip_code,city,subdistrict,register_date,phone_number,email,internet,category,geographical_scope,num_affiliates,belongs_to
3f647cadf56541fb9513cb63ec370187,VILLAVERDE CRIA ,"CALLE GETAFE,14",PISO 2º -LETRA E,28021,MADRID,VILLAVERDE ALTO C.H.,2019-12-02T00:00:00Z,unknown,villaverde.cria@gmail.com,unknown,FAMILIAS,DISTRITO,10,
3e77a14629775492504515dc4b23deda,PLATAFORMA MADRID AGROECOLOGICO,"CALLE MEQUINENZA,20",1º-F,28022,MADRID,CANILLEJAS,2019-12-02T00:00:00Z,unknown,madridagroecologico@gmail.com,unknown,MEDIOAMBIENTALES Y ECOLOGISTAS,MUNICIPIO,19,
c0e8517b1fe0b5270f3f41d4b56d6118,PLATAFORMA SALVAD LAS PEQUEÑAS LIBRERIAS DE LA COMUNIDAD DE MADRID,"CALLE SIERRA MOLINA,26",LIBRERIA PENCIL,28053,MADRID,SAN DIEGO,2019-02-25T00:00:00Z,606540367,plataformasplm@gmail.com,unknown,"COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS",COMUNIDAD DE MADRID,250,
e7e69cdf28f8ce6b69b4e1853ee21bab,BARRAQUIANOS DE TRAGYCOM ,"CALLE SIRIO,42",13ª LETRA A,28007,MADRID,ESTRELLA,2019-12-03T00:00:00Z,629910641,tragycom@gmail.com,unknown,CULTURALES Y CASAS REGIONALES,unknown,28,
c5b270a763686e776039618cc709f3a6,"COLECTIVO CIUDADANO POR EL DEPORTE,LA CULTURA Y LA CONVIVENCIA CANCHAS ROJAS","CALLE ARROYO DE LA BULERA,11","BLOQUE D,PISO 7ª,LETA A",28021,MADRID,BUTARQUE,2019-01-04T00:00:00Z,662422180,daysycuevaruiz@gmail.com,unknown,DEPORTIVAS,BARRIO,3,
398475c83b47075e8897a083e97eb9f0,ASOCIACION HUERTO DE LADIS,"CALLE CIUDADANIA,14",LOCAL,28041,MADRID,LOS ROSALES,2019-04-22T00:00:00Z,680230149,huertoladis@gmail.com,unknown,MEDIOAMBIENTALES Y ECOLOGISTAS,BARRIO,8,
49c0fa7f96aa0a5fb95c62909d5190a6,COMUNIDAD CRISTIANA DEL ESPIRITU SANTO,"PASEO SANTA MARIA DE LA CABEZA,12","LOCAL,PUERTA B",28045,MADRID,PALOS DE MOGUER,2019-05-14T00:00:00Z,915130072,oficina.cer@gmail.com,unknown,OTRAS DE ACCIÓN SOCIAL,ESTATAL,3,
74791edf1f8e8b8289a5067737630874,SINDICATO ESTATAL DE PROFESIONALES DE SEGURIDAD Y SALUD -SEPROSS,"CALLE PUENTE LA REINA,39","PLANTA 5ª,PUERTA O",28050,MADRID,VALVERDE,2019-12-02T00:00:00Z,659906671,sepross@sepross.es,unknown,"COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS",ESTATAL,557,
2122c699d5e3d2fa6690771845bd7904,ILUSTRE COLEGIO DE PROCURADORES DE MADRID,"CALLE BARBARA DE BRAGANZA,6",PLANTA BAJA,28004,MADRID,JUSTICIA,2019-12-02T00:00:00Z,913081323,decano@icpm.es,unknown,"COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS",COMUNIDAD DE MADRID,2123,
9426c311e76888b3b2368150cd05f362,COLECTIVO CSA PLAYA GATA ,"AVENIDA CARDENAL HERRERA ORIA,80",PORTAL B,28034,MADRID,VALVERDE,2019-07-06T00:00:00Z,6253215109,CSAPLAYAGATA@GMAIL.COM,unknown,OTRAS DE ACCIÓN SOCIAL,MUNICIPIO,3,
898aef0932f6aaecda27aba8e9903991,APOSTOLICAS DEL CORAZON DE JESUS OBRAS SOCIALES,"CALLE NICASIO GALLEGO,24",,28010,MADRID,TRAFALGAR,2019-12-02T00:00:00Z,914454169,covoluntario@proyectosluzcasanova.org,unknown,OTRAS DE ACCIÓN SOCIAL,ESTATAL,6,
c90e274d55309db944076afb3ff9c391,COLEGIO OFICIAL DE AGENTES COMERCIALES DE LA COMUNIDAD DE MADRID,"CALLE LADERA DE LOS ALMENDROS,40",,28032,MADRID,VALDEBERNARDO       ,2019-12-02T00:00:00Z,609282374,cjuntacolegial@coaccm.org,unknown,"COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS",COMUNIDAD DE MADRID,1016,
55a0df4b5a1786cd13a7a8de759859d4,"LA GARBANCITA ECOLOGICA,S. COOP. MAD. DE CONSUMO RESPONSABLE AUTOGESTIONADO","CALLE PUERTO DEL MILAGRO,8",LOCAL,28018,MADRID,PALOMERAS BAJAS,2019-05-04T00:00:00Z,618215863,lacestabasica@lagarbancitaecologica.org,unknown,MEDIOAMBIENTALES Y ECOLOGISTAS,MUNICIPIO,33,
9e406957d45fcb6c6f38c2ada7bace91,MADRID BORDE SUR,"CALLE ANTONIO DE LEYVA,41",4º DCHA,28019,MADRID,COMILLAS,2019-08-23T00:00:00Z,638154659,a.lopezparejo@gmail.com,unknown,OTRAS DE ACCIÓN SOCIAL,MUNICIPIO,4,
83ddfbd1c4f871159c148d7a010e69be,FAM Y LIAS. RECURSOS PARA LA DIVERSIDAD S. COOP. MAD.,"CALLE ESTEBAN CARROS,8",,28053,MADRID,ENTREVIAS,2020-01-27T00:00:00Z,918320114,contacta@famylias.org,http://www.famylias.org,OTRAS DE ACCIÓN SOCIAL,MUNICIPIO,0,
c24fe9f765a44048868b5a620f05678e,ASOCIACION BAUTISTA REFORMADA DEL PACTO DE GRACIA,"CALLE FUENDETODOS,30",,28047,MADRID,LOS CARMENES,2020-08-25T00:00:00Z,671653536,info@ibrpg.org,http://www.ibrpg.org,OTRAS DE ACCIÓN SOCIAL,ESTATAL,84,
243be2818a23c980ad664f30f48e5d19,A3CALLES CUIDADOS EN TERRITORIO S COOP MAD,"AVENIDA DONOSTIARRA,13",,28027,MADRID,CONCEPCION,2020-08-27T00:00:00Z,617879565,a3callescuidados@gmail.com,unknown,DE PERSONAS CONSUMIDORAS Y USUARIAS,COMUNIDAD DE MADRID,,
