Num  Inscripción;Denominacion;Tipo_Via;Calle;Numero;Aproximacion;Cod_Postal;Poblacion;Barrio;Fecha_Registro;Primer_Tlfn;Email;Internet;Categoria;Ambito;Num_Personas
3576;VILLAVERDE CRIA ;CALLE;GETAFE;14;PISO 2º -LETRA E;28021;MADRID;VILLAVERDE ALTO C.H.;12/02/2019;;villaverde.cria@gmail.com;;FAMILIAS;DISTRITO;10
3577;PLATAFORMA MADRID AGROECOLOGICO;CALLE;MEQUINENZA;20;1º-F;28022;MADRID;CANILLEJAS;12/02/2019;;madridagroecologico@gmail.com;;MEDIOAMBIENTALES Y ECOLOGISTAS;MUNICIPIO;19
3595;PLATAFORMA SALVAD LAS PEQUEÑAS LIBRERIAS DE LA COMUNIDAD DE MADRID;CALLE;SIERRA MOLINA;26;LIBRERIA PENCIL;28053;MADRID;SAN DIEGO;25/02/2019;606540367;plataformasplm@gmail.com;;COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS;COMUNIDAD DE MADRID;250
3599;BARRAQUIANOS DE TRAGYCOM ;CALLE;SIRIO;42;13ª LETRA A;28007;MADRID;ESTRELLA;12/03/2019;629910641;tragycom@gmail.com;;CULTURALES Y CASAS REGIONALES; ;28
3621;COLECTIVO CIUDADANO POR EL DEPORTE, LA CULTURA Y LA CONVIVENCIA CANCHAS ROJAS;CALLE;ARROYO DE LA BULERA;11;BLOQUE D, PISO 7ª, LETA A;28021;MADRID;BUTARQUE;01/04/2019;662422180;daysycuevaruiz@gmail.com;;DEPORTIVAS;BARRIO;3
3632;ASOCIACION HUERTO DE LADIS;CALLE;CIUDADANIA;14;LOCAL;28041;MADRID;LOS ROSALES;22/04/2019;680230149;huertoladis@gmail.com;;MEDIOAMBIENTALES Y ECOLOGISTAS;BARRIO;8
3649;COMUNIDAD CRISTIANA DEL ESPIRITU SANTO;PASEO;SANTA MARIA DE LA CABEZA;12;LOCAL, PUERTA B;28045;MADRID;PALOS DE MOGUER;14/05/2019;915130072;oficina.cer@gmail.com;;OTRAS DE ACCIÓN SOCIAL;ESTATAL;3
3679;SINDICATO ESTATAL DE PROFESIONALES DE SEGURIDAD Y SALUD -SEPROSS;CALLE;PUENTE LA REINA;39;PLANTA 5ª, PUERTA O;28050;MADRID;VALVERDE;12/02/2019;659906671;sepross@sepross.es;;COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS;ESTATAL;557
3680;ILUSTRE COLEGIO DE PROCURADORES DE MADRID;CALLE;BARBARA DE BRAGANZA;6;PLANTA BAJA;28004;MADRID;JUSTICIA;12/02/2019;913081323;decano@icpm.es;;COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS;COMUNIDAD DE MADRID;2123
3681;COLECTIVO CSA PLAYA GATA ;AVENIDA;CARDENAL HERRERA ORIA;80;PORTAL B;28034;MADRID;VALVERDE;07/06/2019;6253215109;CSAPLAYAGATA@GMAIL.COM;;OTRAS DE ACCIÓN SOCIAL;MUNICIPIO;3
3682;APOSTOLICAS DEL CORAZON DE JESUS OBRAS SOCIALES;CALLE;NICASIO GALLEGO;24;;28010;MADRID;TRAFALGAR;12/02/2019;914454169;covoluntario@proyectosluzcasanova.org;;OTRAS DE ACCIÓN SOCIAL;ESTATAL;6
3684;COLEGIO OFICIAL DE AGENTES COMERCIALES DE LA COMUNIDAD DE MADRID;CALLE;LADERA DE LOS ALMENDROS;40;;28032;MADRID;VALDEBERNARDO       ;12/02/2019;609282374;cjuntacolegial@coaccm.org;;COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS;COMUNIDAD DE MADRID;1016
3685;LA GARBANCITA ECOLOGICA, S. COOP. MAD. DE CONSUMO RESPONSABLE AUTOGESTIONADO;CALLE;PUERTO DEL MILAGRO;8;LOCAL;28018;MADRID;PALOMERAS BAJAS;05/04/2019;618215863;lacestabasica@lagarbancitaecologica.org;;MEDIOAMBIENTALES Y ECOLOGISTAS;MUNICIPIO;33
3721;MADRID BORDE SUR;CALLE;ANTONIO DE LEYVA;41;4º DCHA;28019;MADRID;COMILLAS;23/08/2019;638154659;a.lopezparejo@gmail.com;;OTRAS DE ACCIÓN SOCIAL;MUNICIPIO;4
3772;FAM Y LIAS. RECURSOS PARA LA DIVERSIDAD S. COOP. MAD.;CALLE;ESTEBAN CARROS;8;;28053;MADRID;ENTREVIAS;27/01/2020;918320114;contacta@famylias.org;http://www.famylias.org;OTRAS DE ACCIÓN SOCIAL;MUNICIPIO;0
3825;ASOCIACION BAUTISTA REFORMADA DEL PACTO DE GRACIA;CALLE;FUENDETODOS;30;;28047;MADRID;LOS CARMENES;25/08/2020;671653536;info@ibrpg.org;http://www.ibrpg.org;OTRAS DE ACCIÓN SOCIAL;ESTATAL;84
3834;A3CALLES CUIDADOS EN TERRITORIO S COOP MAD;AVENIDA;DONOSTIARRA;13;;28027;MADRID;CONCEPCION;27/08/2020;617879565;a3callescuidados@gmail.com;;DE PERSONAS CONSUMIDORAS Y USUARIAS;COMUNIDAD DE MADRID; 
3840;AEROPUERTO PARTICIPA;CALLE;GARGANCHON;111;PORTAL 1, 1ºB;28042;MADRID;AEROPUERTO;10/09/2020;644011435;info@aeropuertoparticipa.es;http://www.aeropuertoparticipa.es;VECINALES;COMUNIDAD DE MADRID;7
3846;EL DESVAN SOCIAL S. COOP. MAD.;PLAZA;MEMORIA VINCULANTE;3;BAJO A;28041;MADRID;ORCASITAS;15/09/2020;658329085;alcira@eldesvansocialcoop.com;http://www.eldesvansocialcoop.com;OTRAS DE ACCIÓN SOCIAL;COMUNIDAD DE MADRID;2
3872;PLATAFORMA CIUDADANA DE BARES ESPECIALES MUSICALES (BEM);CALLE;CHURRUCA;3;2º DERECHA;28004;MADRID;JUSTICIA;25/01/2021;676825180;PLATAFORMABEM@GMAIL.COM;;COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS;MUNICIPIO;12
3878;ASOCIACION DE PROFESIONALES DE LA ILUSTRACION DE MADRID (APIM);CALLE;HORTALEZA;20;4º B;28004;MADRID;JUSTICIA;01/02/2021;623193539;apim@apimadrid.net;;COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS;COMUNIDAD DE MADRID;220
3895;COLECTIVO CIUDADANO ESCALADA CUÑA VERDE;CALLE;VICENTE CAMARON;41;3º - C;28011;MADRID;PUERTA DEL ANGEL;11/02/2021;630722053;enriquemf06@hotmail.com;;DEPORTIVAS;BARRIO;28
3917;EL HILO VERDE;CALLE;PUERTO DE MASPALOMAS;20;;28029;MADRID;EL PILAR;23/04/2021;666080506;pablolinaresgomezdelcastillo@gmail.com;;CULTURALES Y CASAS REGIONALES;BARRIO;3
3922;ASOCIACION PROFESIONAL DE TINTORERIAS Y LAVANDERIAS DE LA COMUNIDAD DE MADRID ;CALLE;ARLABAN;7;PLANTA 6ª, PUERTA 63;28014;MADRID;CORTES;28/04/2021;915319340;astylcam@astylcam.com;http://www.astylcam.com;COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS;COMUNIDAD DE MADRID; 
3936;PLATAFORMA DE AFECTADOS DE OCUPACION, LEYANTIOCUPAS;CALLE;HACHERO;50;2º-D;28053;MADRID;SAN DIEGO;09/06/2021;678981325;leyantiocupas@gmail.com;http://www.leyantiocupas.com;OTRAS DE ACCIÓN SOCIAL;ESTATAL;10
3979;RITMONIA;CALLE;OMEGA;93;PISO 4º, PUERTA D;28032;MADRID;VALDERRIVAS         ;04/08/2021;630729469;enrique.cano2@gmail.com;;CULTURALES Y CASAS REGIONALES;BARRIO;4
3980;AFECTADOS POR EL PLAN URBANISTICO COLONIA TERCIO TEROL;CALLE;GORRION;7;;28019;MADRID;SAN ISIDRO;04/08/2021;666681468;coloniatercioterol@gmail.com;;VECINALES;BARRIO;11
3987;RONDALLA Y CORO EL MADROÑO;CALLE;SAN EUDALDO;14;2º- E ;28032;MADRID;CASCO H.VICALVARO   ;15/09/2021;917764109;felix.jimeno@yahoo.es;;CULTURALES Y CASAS REGIONALES;BARRIO;3
3988;GRUPO AIRES DE MADRID;AVENIDA;GUADALAJARA;111;PORTAL G, PISO 5º, PUERTA A;28022;MADRID;ROSAS;15/09/2021;635021291;LARELLANOL@HOTMAIL.COM;;CULTURALES Y CASAS REGIONALES;BARRIO;25
3990;GRUPO VALDETEATRO;CALLE;MERCURIO;6;BAJO;28032;MADRID;CASCO H.VICALVARO;15/09/2021;649214685;agsalas@pharmamar.com;;CULTURALES Y CASAS REGIONALES;BARRIO;4
