id,type,name,trimmed_name,same_as_organization_wikidata,address,latitude,longitude,detail,zip_code,city,district,subdistrict,tax_code,register_date,register_date_alt_format,phone,email,website,category,geographical_scope,num_affiliates,asoc_affiliated,belongs_to_id1,belongs_to_id2,belongs_to_id3,belongs_to_id4
b706835de79a2b4e80506f582af3676a,Association,Onda Merlin Comunitaria-radio Sureste,onda_merlin_comunitaria_radio_sureste,,"Calle Diamante, 22",40.3522527,-3.6867994,,28021,Madrid,Villaverde,Los Rosales,G79092722,1994-10-14T00:00:00Z,1994-10-14,649857547,administracion@omcradio.org,http://www.omcradio.org,De Comunicación,Municipio,114,,584b98aac2dddf59ee2cf19ca4ccb75e,,,
9ab0d88431732957a618d4a469a0d4c3,Association,Asociacion Cultural Atenea,asociacion_cultural_atenea,,"Plaza Virgen De Los Llanos, 3",40.377465,-3.7799548,Y 4,28044,Madrid,Latina,Las Aguilas,G79675617,1994-11-10T00:00:00Z,1994-11-10,917051020,,,Culturales Y Casas Regionales,Barrio,625,,,,,
ec5aa0b7846082a2415f0902f0da88f2,Association,Asociacion De Padres De Alumnos Colegio Publico Daniel Vazquez Diaz,asociacion_de_padres_de_alumnos_colegio_publico_daniel_vazquez_diaz,,"Calle Armenteros, 46",40.4650584,-3.7131683,,28039,Madrid,Moncloa-Aravaca,Valdezarza,G28576478,1994-09-28T00:00:00Z,1994-09-28,600517703,ampacolegiodvd@gmail.com,,De Madres Y Padres Del Alumnado,Barrio,100,,f4f6dce2f3a0f9dada0c2b5b66452017,,,
2bcab9d935d219641434683dd9d18a03,Association,Asociacion De Vecinos De El Plantio Distrito Moncloa,asociacion_de_vecinos_de_el_plantio_distrito_moncloa,,"Calle Rafael Villa, 78 D",40.4720131,-3.825996299999999,2º D,28023,Madrid,Moncloa-Aravaca,El Plantio,G80907520,1994-07-11T00:00:00Z,1994-07-11,650543532,vecindarioelplantio@gmail.com,,Vecinales,Municipio,54,,,,,
7b13b2203029ed80337f27127a9f1d28,Association,Asociacion Mujeres Las Aguilas,asociacion_mujeres_las_aguilas,,"Calle Blas Cabrera, 125",40.3779324,-3.7681915,1º,28044,Madrid,Latina,Las Aguilas,G80286297,1994-09-26T00:00:00Z,1994-09-26,917050388,amlaguilas@hotmail.com,,De Mujeres,Distrito,328,,,,,
4fac9ba115140ac4f1c22da82aa0bc7f,Association,Asociacion Cultural Recreativa Escuela Futbol Carabanchel,asociacion_cultural_recreativa_escuela_futbol_carabanchel,,"Plaza Las Meninas, 2",40.3777652,-3.731243699999999,,28025,Madrid,Carabanchel,Abrantes,G80035066,1994-07-22T00:00:00Z,1994-07-22,914699538,,http://www.escuelafutbolcarabanchel.com,Culturales Y Casas Regionales,Distrito,723,,,,,
ac627ab1ccbdb62ec96e702f07f6425b,Association,Asociacion De Vecinos Las Musas Las Rosas,asociacion_de_vecinos_las_musas_las_rosas,,"Calle Carlos II, 12",40.4285091,-3.6077915,Bajo,28022,Madrid,San Blas-Canillejas,Rosas,G79500732,1988-04-19T00:00:00Z,1988-04-19,913131521,avvlasmusas2@hotmail.com,http://www.avlasmusas-lasrosas.org,Vecinales,Municipio,1111,,735b90b4568125ed6c3f678819b6e058,,,
9908279ebbf1f9b250ba689db6a0222b,Association,Centro Encuentro Y Formacion Opañel,centro_encuentro_y_formacion_opañel,,"Plaza Cantoria, 2",40.3928902,-3.7232036,Bajo Izq,28019,Madrid,Carabanchel,Opañel,G80589229,1994-08-07T00:00:00Z,1994-08-07,914729540,amo@amo.org.es,,De Mujeres,Barrio,117,,,,,
d93ed5b6db83be78efb0d05ae420158e,Association,Agrupacion Coral Fernando De Los Rios,agrupacion_coral_fernando_de_los_rios,,"Calle Marques De Jura Real, 26",40.3913224,-3.710978699999999,1ª Planta,28019,Madrid,Carabanchel,Comillas,G78680410,1994-06-28T00:00:00Z,1994-06-28,661301535,coralfdrios@hotmail.com,http://www.coralfernandodelosrios.org,Culturales Y Casas Regionales,Internacional,21,,,,,
287e03db1d99e0ec2edb90d079e142f3,Association,Asociacion De Madres Y Padres De Alumnos Colegio De Educacion Infantil Y Primaria Cuba,asociacion_de_madres_y_padres_de_alumnos_colegio_de_educacion_infantil_y_primaria_cuba,,"Calle Tembleque, 58",40.3952116,-3.7615634,,28024,Madrid,Latina,Aluche,G80428774,1994-02-06T00:00:00Z,1994-02-06,617296198,ampaceipcuba.aluche@gmail.com,,De Madres Y Padres Del Alumnado,Barrio,24,,f4f6dce2f3a0f9dada0c2b5b66452017,,,
