id,type,name,trimmed_name,same_as_organization_wikidata,address,latitude,longitude,detail,zip_code,city,district,subdistrict,tax_code,register_date,register_date_alt_format,phone,email,website,category,geographical_scope,num_affiliates,asoc_affiliated,belongs_to_id1,belongs_to_id2,belongs_to_id3,belongs_to_id4
92977ae4d2ba21425a59afb269c2a14e,Federation,Plena Inclusion Madrid. Organizacion De Entidades En Favor De Personas Con Discapacidad Intelectual De Madrid,plena_inclusion_madrid_organizacion_de_entidades_en_favor_de_personas_con_discapacidad_intelectual_de_madrid,,"Avenida Ciudad De Barcelona, 108",40.4048956,-3.683278199999999,Esc. 2 Bj. Dcha.,28007,Madrid,Retiro,Pacifico,G28729853,1994-03-05T00:00:00Z,1994-03-05,915018335,info@plenamadrid.org,http://plenainclusionmadrid.org/,De Personas Con Discapacidad,Comunidad De Madrid,15000,65,,,,
8c235f89a8143a28a1d6067e959dd858,Federation,Coordinadora Infantil Y Juvenil De Tiempo Libre De Vallecas,coordinadora_infantil_y_juvenil_de_tiempo_libre_de_vallecas,,"Calle Javier De Miguel, 92",40.3851504,-3.6572793,"2, Local 5",28018,Madrid,Puente De Vallecas,Palomeras Bajas,G79896619,1992-10-30T00:00:00Z,1992-10-30,912230414,coordinadora@asociaciones.org,http://www.coordinadora.org.es,Infantiles,Distrito,996,19,,,,
c0f168ce8900fa56e57789e2a2f2c9d0,Federation,Federacion Catolica  De Asociaciones De Padres De Familia Y Padres De Alumnos De Madrid - Fecapa,federacion_catolica__de_asociaciones_de_padres_de_familia_y_padres_de_alumnos_de_madrid_fecapa,,"Calle Don Ramon De La Cruz, 90",40.4284091,-3.6720122,1º Izq.,28006,Madrid,Salamanca,Goya,G28719193,1991-12-11T00:00:00Z,1991-12-11,,madrid@fecapa.e.telefonica.net,,De Madres Y Padres Del Alumnado,Comunidad De Madrid,180000,192,,,,
735b90b4568125ed6c3f678819b6e058,Federation,Federacion Regional De Asociaciones Vecinales De Madrid - Fravm,federacion_regional_de_asociaciones_vecinales_de_madrid_fravm,,"Calle Camino De Los Vinateros, 53",40.4108537,-3.6533376,Bis 1º,28030,Madrid,Moratalaz,Media Legua,G28749836,1988-07-04T00:00:00Z,1988-07-04,917252909,administracion@aavvmadrid.org,http://www.aavvmadrid.org,Vecinales,Comunidad De Madrid,89663,184,,,,
076a0c97d09cf1a0ec3e19c7f2529f2b,Federation,Fermad - Plataforma Madrileña De Entidades Para La Asistencia A La Persona Adicta Y Su Familia,fermad_plataforma_madrileña_de_entidades_para_la_asistencia_a_la_persona_adicta_y_su_familia,,"Calle Conde De Romanones, 9",40.4131278,-3.7047039,4º Dcha,28012,Madrid,Centro,Embajadores,G78406550,1990-05-10T00:00:00Z,1990-05-10,913694448,fermad@telefonica.net,http://www.fermad.org,De Salud Y Apoyo Mutuo,Comunidad De Madrid,1158,19,,,,
56c51a39a7c77d8084838cc920585bd0,Federation,Confederacion Española De Aulas De Tercera Edad,confederacion_española_de_aulas_de_tercera_edad,,"Avenida De America, 1",40.4378694,-3.6775071,,,Madrid,Chamartin,Prosperidad,,2022-07-21T00:00:00Z,2022-07-21,696297014,admin@ceate.es,http://www.ceate.es,"De Personas Mayores, Jubiladas Y Pensionistas",Estatal,1511,9,,,,
ecf5631507a8aedcae34cef231aa7348,Federation,Federacion De Asociaciones Para La Defensa De La Sanidad Publica,federacion_de_asociaciones_para_la_defensa_de_la_sanidad_publica,http://wikidata.org/entity/Q5857324,"Calle Arroyo De La Media Legua, 29",40.4110982,-3.6560752,Puerta 49,,Madrid,Moratalaz,Media Legua,G81042236,2022-07-18T00:00:00Z,2022-07-18,913339087,fadspu@gmail.com,http://www.fadsp.es,De Salud Y Apoyo Mutuo,Estatal,2042,9747,,,,
770c0e7e2af0db73409aa2431aa8f33e,Federation,Federacion De Vecinos De Madrid - Vem,federacion_de_vecinos_de_madrid_vem,,"Calle Victor Andres Belaunde, 52",40.4577508,-3.6800918,"Piso Bajo, Puerta Centro",,Madrid,Chamartin,Hispanoamerica,G67985150,2022-05-26T00:00:00Z,2022-05-26,684183496,vem@vecinosmadrid.es,https://www.vecinosmadrid.es/,Vecinales,Comunidad De Madrid,1085,11,,,,
101951fe7ebe7bd8c77d14f75746b4bc,Federation,Federacion De Asociaciones De Mujeres “libres Y Combativas” De La Comunidad De Madrid,federacion_de_asociaciones_de_mujeres_“libres_y_combativas”_de_la_comunidad_de_madrid,,"Calle Hermanos Del Moral, 33",40.3925198,-3.7211186,"Planta Baja, Puerta 2",,Madrid,Carabanchel,Opañel,G09837741,2022-03-15T00:00:00Z,2022-03-15,605950727,libresycombativasmadrid@gmail.com,,De Mujeres,Comunidad De Madrid,792,3,,,,
f4f6dce2f3a0f9dada0c2b5b66452017,Federation,"Federacion De La Comunidad De Madrid De Asociaciones De Padres Y Madres Del Alumnado ""francisco Giner De Los Rios""","federacion_de_la_comunidad_de_madrid_de_asociaciones_de_padres_y_madres_del_alumnado_""francisco_giner_de_los_rios""",,"Calle Pilar De Zaragoza, 22",40.43323350000001,-3.6687608,Bajo-jardin,28028,Madrid,Salamanca,Guindalera,G28848497,1989-06-30T00:00:00Z,1989-06-30,915539773,info@fapaginerdelosrios.es,http://www.fapaginerdelosrios.org,De Madres Y Padres Del Alumnado,Comunidad De Madrid,56852,379,,,,
4f4adcbf8c6f66dcfc8a3282ac2bf10a,Federation,Federacion De Asociaciones Ciudadanas De Consumidores Y Usuarios Madrid - Facum,federacion_de_asociaciones_ciudadanas_de_consumidores_y_usuarios_madrid_facum,,"Calle Cava Baja, 30",40.4122855,-3.7095033,Local 7,28005,Madrid,Centro,Palacio,G79281424,1989-06-27T00:00:00Z,1989-06-27,913640276,info@cecumadrid.org,,De Personas Consumidoras Y Usuarias,Comunidad De Madrid,1030,3,,,,
ac4e7a4f341e7281b0f6f274f9ec3905,Federation,Federacion De Asociaciones Para La Prevencion Del Maltrato Infantil,federacion_de_asociaciones_para_la_prevencion_del_maltrato_infantil,,"Calle Delicias, 8",40.4039829,-3.6947149,Entreplanta,,Madrid,Arganzuela,Delicias,G79986493,2021-11-25T00:00:00Z,2021-11-25,914682662,alejandra.pascual@fapmi.es,http://www.fapmi.es,Otras De Acción Social,Estatal,,1,,,,
3ce83f544dbe69bb4fb19211fc442c2f,Federation,Confederacion Española De Personas Con Discapacidad Fisica Y Organica (cocemfe),confederacion_española_de_personas_con_discapacidad_fisica_y_organica_(cocemfe),http://wikidata.org/entity/Q30255752,"Calle Eugenio Salazar, 2",40.444256,-3.6728057,,,Madrid,Chamartin,Ciudad Jardin,G28681955,2021-09-28T00:00:00Z,2021-09-28,917443600,juridico@cocemfe.es,http://www.cocemfe.es,De Personas Con Discapacidad,Estatal,225340,30,,,,
86c51678350f656dcc7f490a43946ee5,Federation,Federacion Madrileña De Espeleologia,federacion_madrileña_de_espeleologia,,"Avenida Salas De Los Infantes, 1",40.4860588,-3.6840019,3º - 7,,Madrid,Fuencarral-El Pardo,Valverde,G79008926,2021-06-28T00:00:00Z,2021-06-28,629256870,fme@fmespeleologia.org,http://www.fmespeleologia.org,Deportivas,Comunidad De Madrid,326,19,,,,
af8d9c4e238c63fb074b44eb6aed80ae,Federation,"Federacion De Peritos, Mediadores Y Arbitros - Fepeme","federacion_de_peritos,_mediadores_y_arbitros_fepeme",,"Calle Lope De Rueda, 50",40.4188687,-3.6779918,Bajo Ext,,Madrid,Retiro,Ibiza,G88616172,2021-06-29T00:00:00Z,2021-06-29,910917266,admin@fepeme.org,http://www.fepeme.org,"Comerciantes,empresarios,profesionales Y Autónomos",Estatal,1500,10,,,,
298f587406c914fad5373bb689300433,Federation,Federacion Erasmus Student Network España,federacion_erasmus_student_network_españa,,"Calle Einstein, 7",40.5449645,-3.6934665,,,Madrid,Fuencarral-El Pardo,El Goloso,V83340406,2021-05-28T00:00:00Z,2021-05-28,631482642,secretariado@esn-spain.org,,De Estudiantes /alumnado,Estatal,5190,5,,,,
943b5fd1ef60d3a4db537af4a4d0c802,Federation,Femaden – Federacion Madrileña De Enfermedades Neurologicas,femaden_–_federacion_madrileña_de_enfermedades_neurologicas,,"Camino Valderribas, 115",40.3945701,-3.6560944,Bajo,,Madrid,Puente De Vallecas,Numancia,G83868778,2021-05-25T00:00:00Z,2021-05-25,647620736,femaden@femaden.org,http://www.femaden.org,De Personas Con Discapacidad,Comunidad De Madrid,3470,4,,,,
4175a4b46a45813fccf4bd34c779d817,Federation,Federacion De Asociaciones Regionales De Estudiantes De Ciencias Economicas Y Empresariales - Aiesec En España,federacion_de_asociaciones_regionales_de_estudiantes_de_ciencias_economicas_y_empresariales_aiesec_en_españa,,"Calle La Regalada, 5",40.4045395,-3.6747033,3º A,,Madrid,Retiro,Pacifico,G80240096,2021-03-30T00:00:00Z,2021-03-30,640194223,finanzasylegalidad@aiesec.es,,De Estudiantes /alumnado,Estatal,25,1,,,,
4837ba5cd49c7f03caaa423049e66daf,Federation,Federacion Madrileña De Montañismo,federacion_madrileña_de_montañismo,,"Avenida Salas De Los Infantes, 1",40.4860588,-3.6840019,5º - 3,,Madrid,Fuencarral-El Pardo,Valverde,G79488870,2021-11-02T00:00:00Z,2021-11-02,915273801,cfballesteros@fmm.es,http://www.fmm.es,Deportivas,Comunidad De Madrid,13642,56,,,,
4175f2ebb265d58c6d8877841d016d08,Federation,Plataforma De Organizaciones De Infancia De La Comunidad - Poi Madrid,plataforma_de_organizaciones_de_infancia_de_la_comunidad_poi_madrid,,"Calle Escosura, 3",40.4341454,-3.7070512,Local 2,28015,Madrid,Chamberi,Arapiles,G84727627,2021-11-02T00:00:00Z,2021-11-02,915340143,poimadrid@plataformadeinfancia.org,http://www.poimadrid.org,Infantiles,Comunidad De Madrid,160254,27,,,,
5db60c98209913790e4fcce4597ee37c,Federation,Federacion Española De Tiro Con Arco,federacion_española_de_tiro_con_arco,,"Calle Altamirano, 30",40.4307512,-3.7195459,,,Madrid,Moncloa-Aravaca,Arguelles,Q2878039C,2021-08-02T00:00:00Z,2021-08-02,619414033,rfeta@federarco.es,http://federarco.es,Deportivas,Estatal,,,,,,
533fa796b43291fc61a9e812a50c3fb6,Federation,Federacion Madrileña De Piragüismo,federacion_madrileña_de_piragüismo,,"Carretera El Pardo, 2",40.4351633,-3.7351339,Km 1,,Madrid,Fuencarral-El Pardo,El Pardo,G79414611,2021-01-21T00:00:00Z,2021-01-21,913950127,fmp@piraguamadrid.com,http://www.piraguamadrid.com,Deportivas,Comunidad De Madrid,6046,17,,,,
4c2e5eaae9152079b9e95845750bb9ab,Federation,Federacion  De Asociaciones De Asistencia A Victimas De Violencia Sexual Y De Genero (famuvi),federacion__de_asociaciones_de_asistencia_a_victimas_de_violencia_sexual_y_de_genero_(famuvi),,"Avenida Real De Pinto, 26",40.3465898,-3.7063735,1º D,,Madrid,Villaverde,Villaverde Alto C.H.,G80271588,2021-01-20T00:00:00Z,2021-01-20,636858923,gestioneconomica@stopviolenciasexual.org,http://www.stopviolenciasexual.org,Familias,Estatal,,,,,,
1c66f4627f1b9679f8db47d1287d7e98,Federation,Confederacion De Juventudes Musicales De España,confederacion_de_juventudes_musicales_de_españa,,"Calle Abdon Terradas, 3",40.4348237,-3.7121275,Puerta Izquierda,,Madrid,Chamberi,Gaztambide,G08490559,2020-08-27T00:00:00Z,2020-08-27,629302595,info@jmspain.org,http://www.jmspain.org,Culturales Y Casas Regionales,Estatal,470,1,,,,
46d3f6029f6170ebccb28945964d09bf,Federation,"Federacion Española De Mujeres Directivas, Ejecutivas, Profesionales Y Empresarias - Fedepe","federacion_española_de_mujeres_directivas,_ejecutivas,_profesionales_y_empresarias_fedepe",http://wikidata.org/entity/Q26988097,"Calle Peña Gorbea, 2",40.3957229,-3.6679256,6ª Planta,,Madrid,Puente De Vallecas,San Diego,G80160211,2020-08-27T00:00:00Z,2020-08-27,691738260,secretaria@mujeresfedepe.com,,De Mujeres,Estatal,535483,5,,,,
