id,type,name,address,trimmed_address,address_street_wikidata,latitude,longitude,detail,zip_code,city,same_as_city_wikidata,district,district_trimmed,same_as_district_wikidata,subdistrict,subdistrict_trimmed,same_as_subdistrict_wikidata,tax_code,register_date,register_date_alt_format,phone,email,website,trimmed_website,category,geographical_scope,num_affiliates,asoc_affiliated,belongs_to_id1,belongs_to_id2,belongs_to_id3,belongs_to_id4
b706835de79a2b4e80506f582af3676a,Association,Onda Merlin Comunitaria-radio Sureste,"Calle Diamante, 22",calle_diamante_22,,40.3522527,-3.6867994,,28021,Madrid,http://wikidata.org/entity/Q2807,Villaverde,villaverde,http://wikidata.org/entity/Q919536,Los Rosales,los_rosales,http://wikidata.org/entity/Q10319807,G79092722,1994-10-14T00:00:00Z,1994-10-14,649857547,administracion@omcradio.org,http://www.omcradio.org,omcradio.org,De Comunicación,Municipio,114,,584b98aac2dddf59ee2cf19ca4ccb75e,,,
9ab0d88431732957a618d4a469a0d4c3,Association,Asociacion Cultural Atenea,"Plaza Virgen De Los Llanos, 3",plaza_virgen_de_los_llanos_3_y_4,,40.377465,-3.7799548,Y 4,28044,Madrid,http://wikidata.org/entity/Q2807,Latina,latina,http://wikidata.org/entity/Q794954,Las Aguilas,las_aguilas,http://wikidata.org/entity/Q5971372,G79675617,1994-11-10T00:00:00Z,1994-11-10,917051020,,,,Culturales Y Casas Regionales,Barrio,625,,,,,
ec5aa0b7846082a2415f0902f0da88f2,Association,Asociacion De Padres De Alumnos Colegio Publico Daniel Vazquez Diaz,"Calle Armenteros, 46",calle_armenteros_46,,40.4650584,-3.7131683,,28039,Madrid,http://wikidata.org/entity/Q2807,Moncloa-Aravaca,moncloa-aravaca,http://wikidata.org/entity/Q2017682,Valdezarza,valdezarza,http://wikidata.org/entity/Q10388728,G28576478,1994-09-28T00:00:00Z,1994-09-28,600517703,ampacolegiodvd@gmail.com,,,De Madres Y Padres Del Alumnado,Barrio,100,,f4f6dce2f3a0f9dada0c2b5b66452017,,,
2bcab9d935d219641434683dd9d18a03,Association,Asociacion De Vecinos De El Plantio Distrito Moncloa,"Calle Rafael Villa, 78 D",calle_rafael_villa_78_d_2_d,,40.4720131,-3.825996299999999,2º D,28023,Madrid,http://wikidata.org/entity/Q2807,Moncloa-Aravaca,moncloa-aravaca,http://wikidata.org/entity/Q2017682,El Plantio,el_plantio,http://wikidata.org/entity/Q3773742,G80907520,1994-07-11T00:00:00Z,1994-07-11,650543532,vecindarioelplantio@gmail.com,,,Vecinales,Municipio,54,,,,,
7b13b2203029ed80337f27127a9f1d28,Association,Asociacion Mujeres Las Aguilas,"Calle Blas Cabrera, 125",calle_blas_cabrera_125_1,http://wikidata.org/entity/Q29405139,40.3779324,-3.7681915,1º,28044,Madrid,http://wikidata.org/entity/Q2807,Latina,latina,http://wikidata.org/entity/Q794954,Las Aguilas,las_aguilas,http://wikidata.org/entity/Q5971372,G80286297,1994-09-26T00:00:00Z,1994-09-26,917050388,amlaguilas@hotmail.com,,,De Mujeres,Distrito,328,,,,,
4fac9ba115140ac4f1c22da82aa0bc7f,Association,Asociacion Cultural Recreativa Escuela Futbol Carabanchel,"Plaza Las Meninas, 2",plaza_las_meninas_2,,40.3777652,-3.731243699999999,,28025,Madrid,http://wikidata.org/entity/Q2807,Carabanchel,carabanchel,http://wikidata.org/entity/Q1001991,Abrantes,abrantes,http://wikidata.org/entity/Q3773949,G80035066,1994-07-22T00:00:00Z,1994-07-22,914699538,,http://www.escuelafutbolcarabanchel.com,escuelafutbolcarabanchel.com,Culturales Y Casas Regionales,Distrito,723,,,,,
ac627ab1ccbdb62ec96e702f07f6425b,Association,Asociacion De Vecinos Las Musas Las Rosas,"Calle Carlos II, 12",calle_carlos_ii_12_bajo,,40.4285091,-3.6077915,Bajo,28022,Madrid,http://wikidata.org/entity/Q2807,San Blas-Canillejas,san blas-canillejas,http://wikidata.org/entity/Q2001937,Rosas,rosas,http://wikidata.org/entity/Q18880469,G79500732,1988-04-19T00:00:00Z,1988-04-19,913131521,avvlasmusas2@hotmail.com,http://www.avlasmusas-lasrosas.org,avlasmusas-lasrosas.org,Vecinales,Municipio,1111,,735b90b4568125ed6c3f678819b6e058,,,
9908279ebbf1f9b250ba689db6a0222b,Association,Centro Encuentro Y Formacion Opañel,"Plaza Cantoria, 2",plaza_cantoria_2_bajo_izq,,40.3928902,-3.7232036,Bajo Izq,28019,Madrid,http://wikidata.org/entity/Q2807,Carabanchel,carabanchel,http://wikidata.org/entity/Q1001991,Opañel,opañel,http://wikidata.org/entity/Q3813756,G80589229,1994-08-07T00:00:00Z,1994-08-07,914729540,amo@amo.org.es,,,De Mujeres,Barrio,117,,,,,
d93ed5b6db83be78efb0d05ae420158e,Association,Agrupacion Coral Fernando De Los Rios,"Calle Marques De Jura Real, 26",calle_marques_de_jura_real_26_1_planta,,40.3913224,-3.710978699999999,1ª Planta,28019,Madrid,http://wikidata.org/entity/Q2807,Carabanchel,carabanchel,http://wikidata.org/entity/Q1001991,Comillas,comillas,http://wikidata.org/entity/Q955844,G78680410,1994-06-28T00:00:00Z,1994-06-28,661301535,coralfdrios@hotmail.com,http://www.coralfernandodelosrios.org,coralfernandodelosrios.org,Culturales Y Casas Regionales,Internacional,21,,,,,
287e03db1d99e0ec2edb90d079e142f3,Association,Asociacion De Madres Y Padres De Alumnos Colegio De Educacion Infantil Y Primaria Cuba,"Calle Tembleque, 58",calle_tembleque_58,,40.3952116,-3.7615634,,28024,Madrid,http://wikidata.org/entity/Q2807,Latina,latina,http://wikidata.org/entity/Q794954,Aluche,aluche,http://wikidata.org/entity/Q31140,G80428774,1994-02-06T00:00:00Z,1994-02-06,617296198,ampaceipcuba.aluche@gmail.com,,,De Madres Y Padres Del Alumnado,Barrio,24,,f4f6dce2f3a0f9dada0c2b5b66452017,,,
ed3d2c21991e3bef5e069713af9fa6ca,Association,Asociacion Lucha Antidroga Latina. Alad-latina,"Calle Blas Cabrera, 125",calle_blas_cabrera_125,http://wikidata.org/entity/Q29405139,40.3779324,-3.7681915,,28044,Madrid,http://wikidata.org/entity/Q2807,Latina,latina,http://wikidata.org/entity/Q794954,Las Aguilas,las_aguilas,http://wikidata.org/entity/Q5971372,G78781952,1988-04-18T00:00:00Z,1988-04-18,917050388,aladlatina@hotmail.com,,,De Salud Y Apoyo Mutuo,Distrito,295,,076a0c97d09cf1a0ec3e19c7f2529f2b,,,
4311359ed4969e8401880e3c1836fbe1,Association,Asociacion De Madres Y Padres De Alumnos Escuela Infantil La Jara,"Calle Hijas De Jesus, 30",calle_hijas_de_jesus_30,,40.3844756,-3.7015326,,28026,Madrid,http://wikidata.org/entity/Q2807,Usera,usera,http://wikidata.org/entity/Q953368,Almendrales,almendrales,http://wikidata.org/entity/Q9604761,G80307267,1994-03-29T00:00:00Z,1994-03-29,914769480,ampa.lajara.usera@gmail.com,http://ampalajarausera.blogspot.com,ampalajarausera.blogspot.com,De Madres Y Padres Del Alumnado,Municipio,90,,,,,
ca75910166da03ff9d4655a0338e6b09,Association,Asociacion Albar 42,"Calle Muro, 9",calle_muro_9_bajo_b,,40.4702146,-3.5844871,Bajo B,28042,Madrid,http://wikidata.org/entity/Q2807,Barajas,barajas,http://wikidata.org/entity/Q807230,Timon,timon,http://wikidata.org/entity/Q10382570,G83988576,1994-04-21T00:00:00Z,1994-04-21,629455581,asociacionalbar42@hotmail.com,,,Culturales Y Casas Regionales,Comunidad De Madrid,44,,,,,
6602294be910b1e3c4571bd98c4d5484,Association,Asociacion De Madres Y Padres De Alumnos  Del Instituto De Educacion Secundaria Santa Eugenia,"Calle Cerro Almodovar, 5",calle_cerro_almodovar_5,,40.3846004,-3.6034988,,28031,Madrid,http://wikidata.org/entity/Q2807,Villa Vallecas,villa vallecas,http://wikidata.org/entity/Q1947988,Santa Eugenia,santa_eugenia,http://wikidata.org/entity/Q390463,G80182819,1994-02-03T00:00:00Z,1994-02-03,655691162,info@ampaiessantaeugenia.es,http://ampaiessantaeugenia.es,ampaiessantaeugenia.es,De Madres Y Padres Del Alumnado,Municipio,48,,f4f6dce2f3a0f9dada0c2b5b66452017,,,
89fcd07f20b6785b92134bd6c1d0fa42,Association,Asociacion De Padres De Alumnos Colegio Publico Rosa Luxemburgo,"Calle Bardegueral, 16",calle_bardegueral_16_18,,40.4501052,-3.7714614,18,28023,Madrid,http://wikidata.org/entity/Q2807,Moncloa-Aravaca,moncloa-aravaca,http://wikidata.org/entity/Q2017682,Aravaca,aravaca,http://wikidata.org/entity/Q3314682,G79794244,1994-01-02T00:00:00Z,1994-01-02,650021740,amparosaluxemburgo@gmail.com,http://aparosaluxemburgo.org,aparosaluxemburgo.org,De Madres Y Padres Del Alumnado,Municipio,268,,f4f6dce2f3a0f9dada0c2b5b66452017,,,
e2ef524fbf3d9fe611d5a8e90fefdc9c,Association,Asociacion De Vecinos Santa Ana De Fuencarral,"Calle Hospitalet De Llobregat, 10",calle_hospitalet_de_llobregat_10_bajo,,40.494884,-3.694293099999999,Bajo,28034,Madrid,http://wikidata.org/entity/Q2807,Fuencarral-El Pardo,fuencarral-el pardo,http://wikidata.org/entity/Q656196,Valverde,valverde,http://wikidata.org/entity/Q31132,G78383205,1988-04-18T00:00:00Z,1988-04-18,917343350,asociacion.santaana@hotmail.com,,,Vecinales,Comunidad De Madrid,110,,735b90b4568125ed6c3f678819b6e058,,,
8f468c873a32bb0619eaeb2050ba45d1,Association,"Asociacion De Madres Y Padres Del Conservatorio Profesional De Musica ""teresa Berganza""","Calle Palmipedo, 3",calle_palmipedo_3,,40.40346359999999,-3.744976899999999,,28047,Madrid,http://wikidata.org/entity/Q2807,Latina,latina,http://wikidata.org/entity/Q794954,Lucero,lucero,http://wikidata.org/entity/Q31162,G80763659,1994-04-13T00:00:00Z,1994-04-13,915265176,secretaria@conservatorioteresaberganza.com,http://www.conservatorioteresaberganza.com.es,conservatorioteresaberganza.com.es,De Madres Y Padres Del Alumnado,Municipio,36,,,,,
4e0cb6fb5fb446d1c92ede2ed8780188,Association,Circulo Convivencial Limite - Cirvite,"Calle Esparta, 19",calle_esparta_19,,40.4486896,-3.615963099999999,,28022,Madrid,http://wikidata.org/entity/Q2807,San Blas-Canillejas,san blas-canillejas,http://wikidata.org/entity/Q2001937,Canillejas,canillejas,http://wikidata.org/entity/Q663013,G28870558,1994-04-29T00:00:00Z,1994-04-29,913249293,info@cirvite.org,http://www.cirvite.org,cirvite.org,Otras De Acción Social,Estatal,85,,92977ae4d2ba21425a59afb269c2a14e,,,
5c936263f3428a40227908d5a3847c0b,Association,Asociacion Cultural Y Deportiva Acude - San Miguel,"Calle Jacinto Verdaguer, 34",calle_jacinto_verdaguer_34,,40.3954405,-3.7185528,,28019,Madrid,http://wikidata.org/entity/Q2807,Carabanchel,carabanchel,http://wikidata.org/entity/Q1001991,Opañel,opañel,http://wikidata.org/entity/Q3813756,G80879901,1994-01-03T00:00:00Z,1994-01-03,646583487,dalonsourbano@gmail.com,http://www.acudecarabanchel.com,acudecarabanchel.com,Deportivas,Barrio,41,,,,,
d707329bece455a462b58ce00d1194c9,Association,Asociacion Jaire,"Pasaje Pradillo, 12",pasaje_pradillo_12,,40.4413862,-3.6723659,,28002,Madrid,http://wikidata.org/entity/Q2807,Chamartin,chamartin,http://wikidata.org/entity/Q1766348,Prosperidad,prosperidad,http://wikidata.org/entity/Q4776,G80618036,1994-07-02T00:00:00Z,1994-07-02,915191260,asocjaire@yahoo.es,http://www.jaire.es,jaire.es,Juveniles,Municipio,82,,d961e9f236177d65d21100592edb0769,,,
0f840be9b8db4d3fbd5ba2ce59211f55,Association,Asociacion De Vecinos Hispanoamerica,"Calle Potosi, 8",calle_potosi_8_5_a,,40.4568238,-3.678541,5º A,28016,Madrid,http://wikidata.org/entity/Q2807,Chamartin,chamartin,http://wikidata.org/entity/Q1766348,Hispanoamerica,hispanoamerica,http://wikidata.org/entity/Q3814573,G80723323,1994-03-22T00:00:00Z,1994-03-22,669299360,info@metodosysistemas.com,,,Vecinales,Municipio,95,,,,,
2ba596643cbbbc20318224181fa46b28,Association,Asociacion De Madres Y Padres De Alumnos Del Colegio Sagrados Corazones,"Calle Pan Y Toros, 45",calle_pan_y_toros_45,,40.3571601,-3.6940295,,28041,Madrid,http://wikidata.org/entity/Q2807,Villaverde,villaverde,http://wikidata.org/entity/Q919536,Los Angeles,los_angeles,http://wikidata.org/entity/Q390462,G80020407,1994-02-18T00:00:00Z,1994-02-18,913172526,scorazonesmad@planalfa.es,,,De Madres Y Padres Del Alumnado,Barrio,96,,c0f168ce8900fa56e57789e2a2f2c9d0,,,
ef4e3b775c934dada217712d76f3d51f,Association,Asociacion De Madres Y Padres De Alumnos Cultura Y Democracia Colegio De Educacion Infantil Y Primaria Jorge Guillen,"Avenida El Ferrol, 47",avenida_el_ferrol_47,,40.47539949999999,-3.707864499999999,,28029,Madrid,http://wikidata.org/entity/Q2807,Fuencarral-El Pardo,fuencarral-el pardo,http://wikidata.org/entity/Q656196,El Pilar,el_pilar,http://wikidata.org/entity/Q3773964,G81146870,1994-02-21T00:00:00Z,1994-02-21,696583895,ampajorgeguillen.2009@gmail.com,,,De Madres Y Padres Del Alumnado,Barrio,30,,f4f6dce2f3a0f9dada0c2b5b66452017,,,
a3d68b461bd9d3533ee1dd3ce4628ed4,Association,Asociacion De Padres De Alumnos Colegio Publico La Rioja,"Calle Leon Felipe, 3",calle_leon_felipe_3,,40.3881311,-3.6369945,,28038,Madrid,http://wikidata.org/entity/Q2807,Puente De Vallecas,puente de vallecas,http://wikidata.org/entity/Q2003054,Palomeras Sureste,palomeras_sureste,http://wikidata.org/entity/Q10343901,G79270948,1993-12-17T00:00:00Z,1993-12-17,917773912,ampa.larioja@gmail.com,,,De Madres Y Padres Del Alumnado,Municipio,121,,f4f6dce2f3a0f9dada0c2b5b66452017,,,
812b4ba287f5ee0bc9d43bbf5bbe87fb,Association,Asociacion De Vecinos La Corrala  Latina-rastro-lavapies,"Calle Lavapies, 38",calle_lavapies_38,http://wikidata.org/entity/Q19969082,40.4099114,-3.702702,,28012,Madrid,http://wikidata.org/entity/Q2807,Centro,centro,http://wikidata.org/entity/Q1763376,Embajadores,embajadores,http://wikidata.org/entity/Q2449844,G78997780,1988-04-14T00:00:00Z,1988-04-14,914670509,lacorrala@telefonica.net,,,Vecinales,Barrio,510,,735b90b4568125ed6c3f678819b6e058,,,
3cef96dcc9b8035d23f69e30bb19218a,Association,Asociacion De Vecinos De La Colonia Diego Velazquez,"Plaza Las Meninas, 2",plaza_las_meninas_2_bajo_c,,40.3777652,-3.731243699999999,Bajo C,28025,Madrid,http://wikidata.org/entity/Q2807,Carabanchel,carabanchel,http://wikidata.org/entity/Q1001991,Abrantes,abrantes,http://wikidata.org/entity/Q3773949,G28275758,1993-02-11T00:00:00Z,1993-02-11,915609935,avdiegovelazquez@gmail.com,,,Vecinales,Barrio,1200,,735b90b4568125ed6c3f678819b6e058,,,
c8c41c4a18675a74e01c8a20e8a0f662,Association,Asociacion De La Juventud De Usera,"Avenida Rafaela Ybarra, 30",avenida_rafaela_ybarra_30_bajo,http://wikidata.org/entity/Q110749248,40.3811986,-3.7113676,Bajo,28026,Madrid,http://wikidata.org/entity/Q2807,Usera,usera,http://wikidata.org/entity/Q953368,Zofio,zofio,http://wikidata.org/entity/Q71751,G81447393,1994-11-01T00:00:00Z,1994-11-01,914694771,,,,Juveniles,Distrito,180,,,,,
b55ec28c52d5f6205684a473a2193564,Association,Asociacion De Madres Y Padres Del Colegio Nuestra Señora De La Paloma,"Calle Tabernillas, 2",calle_tabernillas_2,http://wikidata.org/entity/Q28074122,40.4111997,-3.711323,,28005,Madrid,http://wikidata.org/entity/Q2807,Centro,centro,http://wikidata.org/entity/Q1763376,Palacio,palacio,http://wikidata.org/entity/Q2136510,G80137250,1993-05-11T00:00:00Z,1993-05-11,912219689,ampaloma@gmail.com,http://www.afalapaloma.com,afalapaloma.com,De Madres Y Padres Del Alumnado,Municipio,244,,f4f6dce2f3a0f9dada0c2b5b66452017,,,
8d6dc35e506fc23349dd10ee68dabb64,Association,Asociacion Cultural Zazuar,"Calle Castrillo De Aza, 13",calle_castrillo_de_aza_13_esc._centro_4d,,40.384141,-3.6093149,Esc. Centro 4ºd,28031,Madrid,http://wikidata.org/entity/Q2807,Villa Vallecas,villa vallecas,http://wikidata.org/entity/Q1947988,Santa Eugenia,santa_eugenia,http://wikidata.org/entity/Q390463,G80539026,1993-02-07T00:00:00Z,1993-02-07,913312652,asoculzazu@gmail.com,,,Culturales Y Casas Regionales,Comunidad De Madrid,85,,,,,
3df1d4b96d8976ff5986393e8767f5b2,Association,Asociacion De Jubilados Y Pensionistas Del Mar De Madrid,"Calle Zurbano, 73",calle_zurbano_73_planta_baja,http://wikidata.org/entity/Q27043742,40.43776099999999,-3.693135,Planta Baja,28010,Madrid,http://wikidata.org/entity/Q2807,Chamberi,chamberi,http://wikidata.org/entity/Q1763370,Almagro,almagro,http://wikidata.org/entity/Q10954432,G78487303,1993-11-11T00:00:00Z,1993-11-11,915223658,sociocultu@yahoo.es,,,De Personas Mayores. Jubiladas Y Pensionistas,Municipio,71,,,,,
b7892fb3c2f009c65f686f6355c895b5,Association,Asociacion De Padres De Alumnos Nuestra Señora De Las Victorias - Afanias,"Calle Muller, 25",calle_muller_25_bj-pta.1,,40.4641233,-3.699155,Bj-pta.1,28039,Madrid,http://wikidata.org/entity/Q2807,Tetuan,tetuan,http://wikidata.org/entity/Q1773540,Valdeacederas,valdeacederas,http://wikidata.org/entity/Q10388711,G80144595,1993-10-25T00:00:00Z,1993-10-25,670735217,ampansvictorias@gmail.com,,,De Madres Y Padres Del Alumnado,Barrio,31,,92977ae4d2ba21425a59afb269c2a14e,,,
