PK;TIPO-CENTRO;CENTRO-DIA;HORARIO;EQUIPAMIENTO;METRO;BUS;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;DIRECCION;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;TIPO
188403;Centro Municipal de Atención Integral Neurodegenerativa (CMAIN) ;Doctor_Salgado_Alba;Unidad de Estancia Diurna (UED): lunes a viernes de 08:00 a 20:00 h Unidad de Intervención Ambulatoria (UIA): lunes a viernes de 09:00 a 14:00 h (posibilidad de turno de tarde) Servicio de ocio y tiempo libre en fines de semana: sábado y domingo de 10:00 a 18:00 h;Unidad de Estancias Diurnas (UED) Unidad de Intervención Ambulatoria (UIA) Servicio de ocio y tiempo libre en fines de semana   También dispone de los siguientes servicios:  Sanitario (Profesionales de medicina y enfermería) Atención Social Atención Psicológica Terapia Ocupacional Fisioterapia Logopedia Cuidados personales Transporte adaptado con cobertura a los 21 distritos de Madrid (sólo para UED y servicio de fin de semana) Atención a la familia / persona cuidadora Apoyo y asesoramiento;Marqués de Vadillo;34, 35, 119;ACCESO    Solicitud en el centro de Servicios Sociales que corresponda a la persona junto con el informe médico. Personas mayores de 30 años y menores de 65 años. Estar empadronado en Madrid. Presentar algún tipo de deterioro cognitivo de inicio precoz. No presentar trastorno mental o de conducta que dificulte la adhesión al tratamiento.;SI;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cd0a654d9d91f010VgnVCM2000000c205a0aRCRD;CALLE ARMENGOT, 2, 28019 MADRID;3;SAN_ISIDRO;11;CARABANCHEL;439063;4472058;40.39690187683445;-3.7180540271539098;914 799 411;/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores
60986;Centro de Día Concertado ;Edad_Dorada;De 8:15 a 18 horas de Lunes a Viernes.;- Atención sociosanitaria preventiva y rehabilitadora. - Apoyo a la familia. - Aseo y cuidado personal. - Transporte adaptado. - Alimentación y nutrición.;Latina;17, 18, 23, 35, 60;Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.;NO;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=79488ed67151c010VgnVCM2000000c205a0aRCRD;PLAZA GENERAL VARA DE REY, 9, 28005 MADRID;2;EMBAJADORES;1;CENTRO;439871;4473429;40.40929932684141;-3.7086772240833703;91 366 28 94;/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores
5419656;Centro de Día Concertado San Bernardo ;Quavitae_Centro;De 8:15 a 18 horas de lunes a viernes.;Atención sociosanitaria preventiva y rehabilitadora Apoyo a la familia Aseo y cuidado personal Transporte adaptado Alimentación y nutrición;Noviciado y Santo Domingo (línea 2), Plaza de España (línea 3 y 10).;1, 2, 3, 44, 46, 74, 75, 133, 147, 148, N16, N18, N19, N29, N21, M2.;Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.;NO;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=514f1c85e47c3210VgnVCM1000000b205a0aRCRD;CALLE SAN BERNARDO, 39, 28015 MADRID;5;UNIVERSIDAD;1;CENTRO;439976;4475010;40.423558295641016;-3.7075890942619667;915 590 569;/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores
4563830;Centro de Día Municipal ;Acuario;De 8:15 a 18 horas de Lunes a Viernes.;Atención sociosanitaria preventiva y rehabilitadora. Apoyo a la familia. Aseo y cuidado personal. Transporte adaptado. Alimentación y nutrición.;;101, 105, 115;Documentación a aportar:    Solicitud en impreso específico. Informe médico donde se indique el diagnóstico o enfermedad. Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.   Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.;SI;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4ce04d4adb222110VgnVCM1000000b205a0aRCRD;CALLE ACUARIO, 27, 28042 MADRID;3;CASCO_H.BARAJAS;21;BARAJAS;450862;4480620;40.474801968086524;-3.5796914517468617;919 907 714;/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores
10911088;Centro de Día Municipal ;Almorox_Cognitivo;De 8:15 a 18 horas de Lunes a Viernes.;Atención sociosanitaria preventiva y rehabilitadora. Apoyo a la familia. Aseo y cuidado personal. Transporte adaptado. Alimentación y nutrición.; Valdezarza;126, 127, 132;Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.;SI;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=82287cc895279610VgnVCM2000001f4a900aRCRD;CALLE ALMOROX, 6, 28039 MADRID;4;VALDEZARZA;9;MONCLOA-ARAVACA;439653;4479487;40.463872700574974;-3.7117984678094866;914 598 455;/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores
115892;Centro de Día Municipal ;Almorox_Físico;De 8:15 a 18 horas de Lunes a Viernes.;Atención sociosanitaria preventiva y rehabilitadora. Apoyo a la familia. Aseo y cuidado personal. Transporte adaptado. Alimentación y nutrición.; Valdezarza;126, 127, 132;Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.;SI;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d9a8899fc81c010VgnVCM1000000b205a0aRCRD;CALLE ALMOROX, 6, 28039 MADRID;4;VALDEZARZA;9;MONCLOA-ARAVACA;439653;4479487;40.463872700574974;-3.7117984678094866;914 598 455;/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores
96764;Centro de Día Municipal ;Arganzuela;De 8:15 a 18 horas de Lunes a Viernes.;Atención sociosanitaria preventiva y rehabilitadora. Apoyo a la familia. Aseo y cuidado personal. Transporte adaptado. Alimentación y nutrición.;Palos de la Frontera;6, 8, 47, 55, 59, 85, 86, 102, 147;Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.;SI;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9ef677d35f81c010VgnVCM1000000b205a0aRCRD;CALLE CANARIAS, 17, 28045 MADRID;6;PALOS_DE_MOGUER;2;ARGANZUELA;440979;4472617;40.40207279862862;-3.6955325387824014;918 330 672;/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores
11774;Centro de Día Municipal ;Ascao;De 8:15 a 18 horas de Lunes a Viernes.;Atención sociosanitaria preventiva y rehabilitadora. Apoyo a la familia. Aseo y cuidado personal. Transporte adaptado. Alimentación y nutrición.;;28;Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.;SI;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a7a6d4985261c010VgnVCM1000000b205a0aRCRD;CALLE ASCAO, 4, 28017 MADRID;2;PUEBLO_NUEVO;15;CIUDAD_LINEAL;445722;4475764;40.43074546065829;-3.6399224619608535;917 547 730;/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores
10911096;Centro de Día Municipal ;Aurora_Villa_Cognitivo;De 8:15 a 18 horas de Lunes a Viernes.;Atención sociosanitaria preventiva y rehabilitadora. Apoyo a la familia. Aseo y cuidado personal. Transporte adaptado. Alimentación y nutrición.; L5 (Urgel);118, 119, 34, 35, 108;Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.;SI;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=61c87cc895279610VgnVCM2000001f4a900aRCRD;CALLE MERCEDES ARTEAGA, 18, 28019 MADRID;2;OPAÑEL;11;CARABANCHEL;438765;4471709;40.393724223671555;-3.721534053950492;914 725 733;/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores
4572630;Centro de Día Municipal ;Aurora_Villa_Físico;De 8:15 a 18 horas de Lunes a Viernes.;Atención sociosanitaria preventiva y rehabilitadora. Apoyo a la familia. Aseo y cuidado personal. Transporte adaptado. Alimentación y nutrición.; L5 (Urgel);118, 119, 34, 35, 108;Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.;SI;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=40599fb186072110VgnVCM1000000b205a0aRCRD;CALLE MERCEDES ARTEAGA, 18, 28019 MADRID;2;OPAÑEL;11;CARABANCHEL;438765;4471709;40.393724223671555;-3.721534053950492;914 725 733;/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores
