;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Acceso a 
Banco Datos";SERVICIOS SOCIALES. ATENCIÓN A LAS PERSONAS MAYORES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datos;8. Usuarios atendidos por el Programa Cuidar a quienes cuidan según Distrito por Grupo de edad y  Sexo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Total;;;;<30;;;;30-34;;;;35-39;;;;40-44;;;;45-49;;;;50-54;;;;55-59;;;;60-64;;;;65-69;;;;70-74;;;;75-79;;;;80-84;;;;85-89;;;;>90;;;;No consta;;;
;Distrito;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2021 ;369;94;275;;0;0;0;;1;0;1;;4;1;3;;5;1;4;;11;3;8;;26;11;15;;42;10;32;;43;8;35;;59;11;48;;48;12;36;;46;14;32;;39;14;25;;19;9;10;;2;1;1;;24;2;22;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;01. Centro;15;2;13;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;5;2;3;;4;0;4;;1;0;1;;0;0;0;;2;0;2;;2;0;2;;1;0;1;;0;0;0;;0;0;0;
;02. Arganzuela;28;9;19;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;1;0;1;;1;0;1;;2;1;1;;1;0;1;;3;1;2;;2;0;2;;7;2;5;;1;1;0;;6;4;2;;0;0;0;;4;0;4;
;03. Retiro;12;2;10;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;2;0;2;;4;0;4;;3;1;2;;1;0;1;;1;0;1;;1;1;0;;0;0;0;;0;0;0;;0;0;0;
;04. Salamanca;17;6;11;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;1;0;1;;2;1;1;;2;1;1;;1;0;1;;7;2;5;;3;2;1;;1;0;1;;0;0;0;;0;0;0;;0;0;0;;0;0;0;
;05. Chamartín;12;1;11;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;1;0;1;;0;0;0;;0;0;0;;2;0;2;;4;0;4;;3;1;2;;1;0;1;;0;0;0;;0;0;0;;0;0;0;;1;0;1;
;06. Tetuán;12;3;9;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;1;0;1;;0;0;0;;4;1;3;;1;0;1;;0;0;0;;1;0;1;;2;2;0;;3;0;3;;0;0;0;;0;0;0;;0;0;0;
;07. Chamberí;22;3;19;;0;0;0;;0;0;0;;0;0;0;;1;0;1;;0;0;0;;3;2;1;;2;0;2;;3;0;3;;5;0;5;;1;0;1;;1;0;1;;2;1;1;;1;0;1;;0;0;0;;3;0;3;
;08. Fuencarral-El Pardo;27;3;24;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;1;0;1;;2;1;1;;3;0;3;;1;0;1;;7;0;7;;3;0;3;;3;0;3;;5;1;4;;1;1;0;;1;1;0;;0;0;0;
;09. Moncloa-Aravaca;15;3;12;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;1;0;1;;0;0;0;;1;0;1;;3;0;3;;1;0;1;;3;0;3;;3;1;2;;3;2;1;;0;0;0;;0;0;0;
;10. Latina;21;6;15;;0;0;0;;0;0;0;;1;0;1;;1;0;1;;2;1;1;;2;1;1;;2;1;1;;1;0;1;;1;0;1;;4;2;2;;5;0;5;;1;1;0;;0;0;0;;1;0;1;;0;0;0;
;11. Carabanchel;23;8;15;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;6;0;6;;3;2;1;;2;0;2;;1;0;1;;3;1;2;;5;3;2;;2;2;0;;0;0;0;;1;0;1;
;12. Usera ;16;6;10;;0;0;0;;0;0;0;;1;1;0;;0;0;0;;0;0;0;;4;1;3;;1;1;0;;0;0;0;;4;1;3;;1;1;0;;0;0;0;;3;1;2;;0;0;0;;0;0;0;;2;0;2;
;13. Puente de Vallecas;13;4;9;;0;0;0;;0;0;0;;1;0;1;;0;0;0;;0;0;0;;0;0;0;;1;0;1;;0;0;0;;4;1;3;;3;2;1;;0;0;0;;3;1;2;;0;0;0;;0;0;0;;1;0;1;
;14. Moratalaz;18;6;12;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;2;1;1;;1;1;0;;1;0;1;;1;0;1;;2;1;1;;3;0;3;;5;3;2;;2;0;2;;1;0;1;;0;0;0;;0;0;0;
;15. Ciudad Lineal;29;8;21;;0;0;0;;1;0;1;;0;0;0;;0;0;0;;0;0;0;;5;2;3;;4;2;2;;5;0;5;;2;1;1;;4;0;4;;2;0;2;;3;2;1;;1;0;1;;0;0;0;;2;1;1;
