identifier,archive_number,district,district_info,type,location,destination,solar_m2
http://www.group22.org/gz/resource/GreenZones/300000,300000,http://www.group22.org/gz/resource/District/D1,https://wikidata.org/entity/Q1763376,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L1,http://www.group22.org/gz/resource/Destinatation/DES1,502542
http://www.group22.org/gz/resource/GreenZones/300001,300001,http://www.group22.org/gz/resource/District/D1,https://wikidata.org/entity/Q1763376,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L2,http://www.group22.org/gz/resource/Destinatation/DES2,268140
http://www.group22.org/gz/resource/GreenZones/300002,300002,http://www.group22.org/gz/resource/District/D1,https://wikidata.org/entity/Q1763376,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L3,http://www.group22.org/gz/resource/Destinatation/DES1,29792
http://www.group22.org/gz/resource/GreenZones/300003,300003,http://www.group22.org/gz/resource/District/D1,https://wikidata.org/entity/Q1763376,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L4,http://www.group22.org/gz/resource/Destinatation/DES1,163734
http://www.group22.org/gz/resource/GreenZones/300004,300004,http://www.group22.org/gz/resource/District/D1,https://wikidata.org/entity/Q1763376,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L5,http://www.group22.org/gz/resource/Destinatation/DES3,1729
http://www.group22.org/gz/resource/GreenZones/300005,300005,http://www.group22.org/gz/resource/District/D1,https://wikidata.org/entity/Q1763376,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L6,http://www.group22.org/gz/resource/Destinatation/DES4,546295
http://www.group22.org/gz/resource/GreenZones/300006,300006,http://www.group22.org/gz/resource/District/D1,https://wikidata.org/entity/Q1763376,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L7,http://www.group22.org/gz/resource/Destinatation/DES5,100153
http://www.group22.org/gz/resource/GreenZones/300007,300007,http://www.group22.org/gz/resource/District/D1,https://wikidata.org/entity/Q1763376,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L8,http://www.group22.org/gz/resource/Destinatation/DES6,10681118
http://www.group22.org/gz/resource/GreenZones/300008,300008,http://www.group22.org/gz/resource/District/D1,https://wikidata.org/entity/Q1763376,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L9,http://www.group22.org/gz/resource/Destinatation/DES7,199963
http://www.group22.org/gz/resource/GreenZones/300009,300009,http://www.group22.org/gz/resource/District/D1,https://wikidata.org/entity/Q1763376,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L10,http://www.group22.org/gz/resource/Destinatation/DES8,137479
